"proteinType","proteinSearched","todaysDate"
"PNMT","adrenaline","Tue Aug 18 06:46:24 2020"
"DBH","adrenaline","Tue Aug 18 06:46:24 2020"
"SDHB","adrenaline","Tue Aug 18 06:46:24 2020"
"ADRA2A","adrenaline","Tue Aug 18 06:46:24 2020"
"MAOB","adrenaline","Tue Aug 18 06:46:24 2020"
"MAOA","adrenaline","Tue Aug 18 06:46:24 2020"
"ADRB2","adrenaline","Tue Aug 18 06:46:24 2020"
"ADRA2B","adrenaline","Tue Aug 18 06:46:24 2020"
"INS","adrenaline","Tue Aug 18 06:46:24 2020"
"ADRB1","adrenaline","Tue Aug 18 06:46:24 2020"
"RET","adrenaline","Tue Aug 18 06:46:24 2020"
"VHL","adrenaline","Tue Aug 18 06:46:24 2020"
"SDHC","adrenaline","Tue Aug 18 06:46:24 2020"
"SDHD","adrenaline","Tue Aug 18 06:46:24 2020"
"ADRA1A","adrenaline","Tue Aug 18 06:46:24 2020"
"MAX","adrenaline","Tue Aug 18 06:46:24 2020"
"MDH2","adrenaline","Tue Aug 18 06:46:24 2020"
"SDHA","adrenaline","Tue Aug 18 06:46:24 2020"
"FH","adrenaline","Tue Aug 18 06:46:24 2020"
"DLST","adrenaline","Tue Aug 18 06:46:24 2020"
"KIF1B","adrenaline","Tue Aug 18 06:46:24 2020"
"SLC25A11","adrenaline","Tue Aug 18 06:46:24 2020"
"SDHAF2","adrenaline","Tue Aug 18 06:46:24 2020"
"TMEM127","adrenaline","Tue Aug 18 06:46:24 2020"
"HRH1","adrenaline","Tue Aug 18 06:46:24 2020"
