"proteinType","proteinSearched","todaysDate"
"CALCA","calcitonine","Tue Aug 18 06:57:13 2020"
"CALCR","calcitonine","Tue Aug 18 06:57:13 2020"
"CALCRL","calcitonine","Tue Aug 18 06:57:13 2020"
"RAMP1","calcitonine","Tue Aug 18 06:57:13 2020"
"CALCB","calcitonine","Tue Aug 18 06:57:13 2020"
"RET","calcitonine","Tue Aug 18 06:57:13 2020"
"PRKAR1A","calcitonine","Tue Aug 18 06:57:13 2020"
"RAMP2","calcitonine","Tue Aug 18 06:57:13 2020"
"RAMP3","calcitonine","Tue Aug 18 06:57:13 2020"
"IAPP","calcitonine","Tue Aug 18 06:57:13 2020"
"VHL","calcitonine","Tue Aug 18 06:57:13 2020"
"MEN1","calcitonine","Tue Aug 18 06:57:13 2020"
"SDHD","calcitonine","Tue Aug 18 06:57:13 2020"
"SDHB","calcitonine","Tue Aug 18 06:57:13 2020"
"VIP","calcitonine","Tue Aug 18 06:57:13 2020"
"ADM","calcitonine","Tue Aug 18 06:57:13 2020"
"NTRK1","calcitonine","Tue Aug 18 06:57:13 2020"
"CRCP","calcitonine","Tue Aug 18 06:57:13 2020"
"SDHC","calcitonine","Tue Aug 18 06:57:13 2020"
"SDHAF2","calcitonine","Tue Aug 18 06:57:13 2020"
"TMEM127","calcitonine","Tue Aug 18 06:57:13 2020"
"SST","calcitonine","Tue Aug 18 06:57:13 2020"
"NF1","calcitonine","Tue Aug 18 06:57:13 2020"
"GNAS","calcitonine","Tue Aug 18 06:57:13 2020"
"CHGA","calcitonine","Tue Aug 18 06:57:13 2020"
