"proteinType","proteinSearched","todaysDate"
"CASR","calcium","Tue Aug 18 06:46:22 2020"
"ANKH","calcium","Tue Aug 18 06:46:22 2020"
"PTH","calcium","Tue Aug 18 06:46:22 2020"
"CACNA1C","calcium","Tue Aug 18 06:46:22 2020"
"CACNA1A","calcium","Tue Aug 18 06:46:22 2020"
"GNA11","calcium","Tue Aug 18 06:46:22 2020"
"CACNA1S","calcium","Tue Aug 18 06:46:22 2020"
"OTULIN","calcium","Tue Aug 18 06:46:22 2020"
"RYR1","calcium","Tue Aug 18 06:46:22 2020"
"FGF23","calcium","Tue Aug 18 06:46:22 2020"
"TRPV6","calcium","Tue Aug 18 06:46:22 2020"
"CACNA1B","calcium","Tue Aug 18 06:46:22 2020"
"AP2S1","calcium","Tue Aug 18 06:46:22 2020"
"SLC34A1","calcium","Tue Aug 18 06:46:22 2020"
"CACNB2","calcium","Tue Aug 18 06:46:22 2020"
"CACNA1D","calcium","Tue Aug 18 06:46:22 2020"
"ORAI1","calcium","Tue Aug 18 06:46:22 2020"
"CYP27B1","calcium","Tue Aug 18 06:46:22 2020"
"GCM2","calcium","Tue Aug 18 06:46:22 2020"
"SLC34A3","calcium","Tue Aug 18 06:46:22 2020"
"PRKAR1A","calcium","Tue Aug 18 06:46:22 2020"
"CYP24A1","calcium","Tue Aug 18 06:46:22 2020"
"VDR","calcium","Tue Aug 18 06:46:22 2020"
"CLDN16","calcium","Tue Aug 18 06:46:22 2020"
"MEN1","calcium","Tue Aug 18 06:46:22 2020"
