"proteinType","proteinSearched","todaysDate"
"SERPINA6","corticosteroids","Tue Aug 18 06:46:25 2020"
"HLA-DRB1","corticosteroids","Tue Aug 18 06:46:25 2020"
"TNF","corticosteroids","Tue Aug 18 06:46:25 2020"
"NR3C1","corticosteroids","Tue Aug 18 06:46:25 2020"
"IL1B","corticosteroids","Tue Aug 18 06:46:25 2020"
"CXCL8","corticosteroids","Tue Aug 18 06:46:25 2020"
"IFNG","corticosteroids","Tue Aug 18 06:46:25 2020"
"IL6","corticosteroids","Tue Aug 18 06:46:25 2020"
"IL10","corticosteroids","Tue Aug 18 06:46:25 2020"
"IL5","corticosteroids","Tue Aug 18 06:46:25 2020"
"IL4","corticosteroids","Tue Aug 18 06:46:25 2020"
"HLA-DQB1","corticosteroids","Tue Aug 18 06:46:25 2020"
"TGFB1","corticosteroids","Tue Aug 18 06:46:25 2020"
"POMC","corticosteroids","Tue Aug 18 06:46:25 2020"
"CRP","corticosteroids","Tue Aug 18 06:46:25 2020"
"CD40LG","corticosteroids","Tue Aug 18 06:46:25 2020"
"HSD11B2","corticosteroids","Tue Aug 18 06:46:25 2020"
"FAS","corticosteroids","Tue Aug 18 06:46:25 2020"
"FN1","corticosteroids","Tue Aug 18 06:46:25 2020"
"FOXP3","corticosteroids","Tue Aug 18 06:46:25 2020"
"CRHR1","corticosteroids","Tue Aug 18 06:46:25 2020"
"TBXAS1","corticosteroids","Tue Aug 18 06:46:25 2020"
"CCL5","corticosteroids","Tue Aug 18 06:46:25 2020"
"RNASE3","corticosteroids","Tue Aug 18 06:46:25 2020"
"ELANE","corticosteroids","Tue Aug 18 06:46:25 2020"
