"proteinType","proteinSearched","todaysDate"
"DBH","dopamine","Tue Aug 18 06:46:20 2020"
"SLC6A3","dopamine","Tue Aug 18 06:46:20 2020"
"DRD2","dopamine","Tue Aug 18 06:46:20 2020"
"DRD4","dopamine","Tue Aug 18 06:46:20 2020"
"DRD1","dopamine","Tue Aug 18 06:46:20 2020"
"DRD3","dopamine","Tue Aug 18 06:46:20 2020"
"DRD5","dopamine","Tue Aug 18 06:46:20 2020"
"DDC","dopamine","Tue Aug 18 06:46:20 2020"
"TH","dopamine","Tue Aug 18 06:46:20 2020"
"SLC18A2","dopamine","Tue Aug 18 06:46:20 2020"
"SNCA","dopamine","Tue Aug 18 06:46:20 2020"
"GCH1","dopamine","Tue Aug 18 06:46:20 2020"
"COMT","dopamine","Tue Aug 18 06:46:20 2020"
"MAOA","dopamine","Tue Aug 18 06:46:20 2020"
"QDPR","dopamine","Tue Aug 18 06:46:20 2020"
"SLC6A2","dopamine","Tue Aug 18 06:46:20 2020"
"CYB561","dopamine","Tue Aug 18 06:46:20 2020"
"PRKN","dopamine","Tue Aug 18 06:46:20 2020"
"PPP1R1B","dopamine","Tue Aug 18 06:46:20 2020"
"MAOB","dopamine","Tue Aug 18 06:46:20 2020"
"SLC6A4","dopamine","Tue Aug 18 06:46:20 2020"
"NR4A2","dopamine","Tue Aug 18 06:46:20 2020"
"PRL","dopamine","Tue Aug 18 06:46:20 2020"
"HTR1A","dopamine","Tue Aug 18 06:46:20 2020"
"ADRA2A","dopamine","Tue Aug 18 06:46:20 2020"
