"proteinType","proteinSearched","todaysDate"
"LCAT","fish-oil","Tue Aug 18 06:46:23 2020"
"APOA1","fish-oil","Tue Aug 18 06:46:23 2020"
"APOB","fish-oil","Tue Aug 18 06:46:23 2020"
"TNF","fish-oil","Tue Aug 18 06:46:23 2020"
"IL6","fish-oil","Tue Aug 18 06:46:23 2020"
"ALB","fish-oil","Tue Aug 18 06:46:23 2020"
"FLG","fish-oil","Tue Aug 18 06:46:23 2020"
"CYP3A4","fish-oil","Tue Aug 18 06:46:23 2020"
"GBA","fish-oil","Tue Aug 18 06:46:23 2020"
"PPARA","fish-oil","Tue Aug 18 06:46:23 2020"
"IGHE","fish-oil","Tue Aug 18 06:46:23 2020"
"LIPA","fish-oil","Tue Aug 18 06:46:23 2020"
"LDLR","fish-oil","Tue Aug 18 06:46:23 2020"
"APOE","fish-oil","Tue Aug 18 06:46:23 2020"
"IFNG","fish-oil","Tue Aug 18 06:46:23 2020"
"SREBF1","fish-oil","Tue Aug 18 06:46:23 2020"
"PCSK9","fish-oil","Tue Aug 18 06:46:23 2020"
"PPARG","fish-oil","Tue Aug 18 06:46:23 2020"
"LPL","fish-oil","Tue Aug 18 06:46:23 2020"
"APOA2","fish-oil","Tue Aug 18 06:46:23 2020"
"CRP","fish-oil","Tue Aug 18 06:46:23 2020"
"INS","fish-oil","Tue Aug 18 06:46:23 2020"
"PEX13","fish-oil","Tue Aug 18 06:46:23 2020"
"PNLIP","fish-oil","Tue Aug 18 06:46:23 2020"
"CASP3","fish-oil","Tue Aug 18 06:46:23 2020"
