"proteinType","proteinSearched","todaysDate"
"GCG","glucagon","Tue Aug 18 06:46:19 2020"
"GCGR","glucagon","Tue Aug 18 06:46:19 2020"
"GLP1R","glucagon","Tue Aug 18 06:46:19 2020"
"GLP2R","glucagon","Tue Aug 18 06:46:19 2020"
"INS","glucagon","Tue Aug 18 06:46:19 2020"
"SST","glucagon","Tue Aug 18 06:46:19 2020"
"GIP","glucagon","Tue Aug 18 06:46:19 2020"
"SCT","glucagon","Tue Aug 18 06:46:19 2020"
"MEN1","glucagon","Tue Aug 18 06:46:19 2020"
"PDX1","glucagon","Tue Aug 18 06:46:19 2020"
"DPP4","glucagon","Tue Aug 18 06:46:19 2020"
"VIP","glucagon","Tue Aug 18 06:46:19 2020"
"CDKN1B","glucagon","Tue Aug 18 06:46:19 2020"
"PYY","glucagon","Tue Aug 18 06:46:19 2020"
"CDKN2C","glucagon","Tue Aug 18 06:46:19 2020"
"GAST","glucagon","Tue Aug 18 06:46:19 2020"
"CDKN1A","glucagon","Tue Aug 18 06:46:19 2020"
"IAPP","glucagon","Tue Aug 18 06:46:19 2020"
"GHRL","glucagon","Tue Aug 18 06:46:19 2020"
"GHRH","glucagon","Tue Aug 18 06:46:19 2020"
"CDKN2B","glucagon","Tue Aug 18 06:46:19 2020"
"RET","glucagon","Tue Aug 18 06:46:19 2020"
"CCK","glucagon","Tue Aug 18 06:46:19 2020"
"CHGA","glucagon","Tue Aug 18 06:46:19 2020"
"GNAS","glucagon","Tue Aug 18 06:46:19 2020"
