"proteinType","proteinSearched","todaysDate"
"G6PC","glucose","Tue Aug 18 06:46:18 2020"
"SLC37A4","glucose","Tue Aug 18 06:46:18 2020"
"SLC5A1","glucose","Tue Aug 18 06:46:18 2020"
"INS","glucose","Tue Aug 18 06:46:18 2020"
"GCK","glucose","Tue Aug 18 06:46:18 2020"
"SLC2A1","glucose","Tue Aug 18 06:46:18 2020"
"G6PD","glucose","Tue Aug 18 06:46:18 2020"
"SLC2A2","glucose","Tue Aug 18 06:46:18 2020"
"SLC2A4","glucose","Tue Aug 18 06:46:18 2020"
"GPI","glucose","Tue Aug 18 06:46:18 2020"
"SLC5A2","glucose","Tue Aug 18 06:46:18 2020"
"INSR","glucose","Tue Aug 18 06:46:18 2020"
"PDX1","glucose","Tue Aug 18 06:46:18 2020"
"G6PC2","glucose","Tue Aug 18 06:46:18 2020"
"PPARG","glucose","Tue Aug 18 06:46:18 2020"
"HNF1A","glucose","Tue Aug 18 06:46:18 2020"
"H6PD","glucose","Tue Aug 18 06:46:18 2020"
"IRS1","glucose","Tue Aug 18 06:46:18 2020"
"HK1","glucose","Tue Aug 18 06:46:18 2020"
"HNF4A","glucose","Tue Aug 18 06:46:18 2020"
"SLC2A3","glucose","Tue Aug 18 06:46:18 2020"
"GCKR","glucose","Tue Aug 18 06:46:18 2020"
"HK2","glucose","Tue Aug 18 06:46:18 2020"
"ABCC8","glucose","Tue Aug 18 06:46:18 2020"
"KCNJ11","glucose","Tue Aug 18 06:46:18 2020"
