"proteinType","proteinSearched","todaysDate"
"RAG1","immunity","Fri Aug 07 08:03:03 2020"
"IL10","immunity","Fri Aug 07 08:03:03 2020"
"IFNG","immunity","Fri Aug 07 08:03:03 2020"
"IL6","immunity","Fri Aug 07 08:03:03 2020"
"CD40LG","immunity","Fri Aug 07 08:03:03 2020"
"RAG2","immunity","Fri Aug 07 08:03:03 2020"
"IL2RA","immunity","Fri Aug 07 08:03:03 2020"
"TLR2","immunity","Fri Aug 07 08:03:03 2020"
"HLA-DRB1","immunity","Fri Aug 07 08:03:03 2020"
"CTLA4","immunity","Fri Aug 07 08:03:03 2020"
"FOXP3","immunity","Fri Aug 07 08:03:03 2020"
"TLR4","immunity","Fri Aug 07 08:03:03 2020"
"JAK3","immunity","Fri Aug 07 08:03:03 2020"
"TNFRSF13B","immunity","Fri Aug 07 08:03:03 2020"
"STAT1","immunity","Fri Aug 07 08:03:03 2020"
"CD79A","immunity","Fri Aug 07 08:03:03 2020"
"TNF","immunity","Fri Aug 07 08:03:03 2020"
"IL7R","immunity","Fri Aug 07 08:03:03 2020"
"CD40","immunity","Fri Aug 07 08:03:03 2020"
"STAT3","immunity","Fri Aug 07 08:03:03 2020"
"CD19","immunity","Fri Aug 07 08:03:03 2020"
"FAS","immunity","Fri Aug 07 08:03:03 2020"
"ACP5","immunity","Fri Aug 07 08:03:03 2020"
"TLR3","immunity","Fri Aug 07 08:03:03 2020"
"FASLG","immunity","Fri Aug 07 08:03:03 2020"
