"proteinType","proteinSearched","todaysDate"
"INSR","insulin","Tue Aug 18 06:46:18 2020"
"INS","insulin","Tue Aug 18 06:46:18 2020"
"IGF1R","insulin","Tue Aug 18 06:46:18 2020"
"IGF1","insulin","Tue Aug 18 06:46:18 2020"
"IRS1","insulin","Tue Aug 18 06:46:18 2020"
"IGF2","insulin","Tue Aug 18 06:46:18 2020"
"PDX1","insulin","Tue Aug 18 06:46:18 2020"
"GCK","insulin","Tue Aug 18 06:46:18 2020"
"LEP","insulin","Tue Aug 18 06:46:18 2020"
"SLC2A4","insulin","Tue Aug 18 06:46:18 2020"
"IGFBP3","insulin","Tue Aug 18 06:46:18 2020"
"IRS2","insulin","Tue Aug 18 06:46:18 2020"
"KCNJ11","insulin","Tue Aug 18 06:46:18 2020"
"HNF1A","insulin","Tue Aug 18 06:46:18 2020"
"ADIPOQ","insulin","Tue Aug 18 06:46:18 2020"
"PPARG","insulin","Tue Aug 18 06:46:18 2020"
"AKT2","insulin","Tue Aug 18 06:46:18 2020"
"IGFBP1","insulin","Tue Aug 18 06:46:18 2020"
"ABCC8","insulin","Tue Aug 18 06:46:18 2020"
"PAX4","insulin","Tue Aug 18 06:46:18 2020"
"PIK3R1","insulin","Tue Aug 18 06:46:18 2020"
"NEUROD1","insulin","Tue Aug 18 06:46:18 2020"
"GH1","insulin","Tue Aug 18 06:46:18 2020"
"HNF4A","insulin","Tue Aug 18 06:46:18 2020"
"IGFBP2","insulin","Tue Aug 18 06:46:18 2020"
