"proteinType","proteinSearched","todaysDate"
"SLC11A2","iron","Fri Aug 21 13:30:51 2020"
"HFE","iron","Fri Aug 21 13:30:51 2020"
"SLC40A1","iron","Fri Aug 21 13:30:51 2020"
"TF","iron","Fri Aug 21 13:30:51 2020"
"HAMP","iron","Fri Aug 21 13:30:51 2020"
"TMPRSS6","iron","Fri Aug 21 13:30:51 2020"
"TFR2","iron","Fri Aug 21 13:30:51 2020"
"FTL","iron","Fri Aug 21 13:30:51 2020"
"HJV","iron","Fri Aug 21 13:30:51 2020"
"FTH1","iron","Fri Aug 21 13:30:51 2020"
"IREB2","iron","Fri Aug 21 13:30:51 2020"
"C19orf12","iron","Fri Aug 21 13:30:51 2020"
"PANK2","iron","Fri Aug 21 13:30:51 2020"
"PLA2G6","iron","Fri Aug 21 13:30:51 2020"
"WDR45","iron","Fri Aug 21 13:30:51 2020"
"CP","iron","Fri Aug 21 13:30:51 2020"
"FXN","iron","Fri Aug 21 13:30:51 2020"
"STEAP3","iron","Fri Aug 21 13:30:51 2020"
"ACO1","iron","Fri Aug 21 13:30:51 2020"
"TFRC","iron","Fri Aug 21 13:30:51 2020"
"COASY","iron","Fri Aug 21 13:30:51 2020"
"ALAS2","iron","Fri Aug 21 13:30:51 2020"
"ISCU","iron","Fri Aug 21 13:30:51 2020"
"HBB","iron","Fri Aug 21 13:30:51 2020"
"ABCB7","iron","Fri Aug 21 13:30:51 2020"
