"proteinType","proteinSearched","todaysDate"
"TRPM6","magnesium","Tue Aug 18 06:46:23 2020"
"CLDN16","magnesium","Tue Aug 18 06:46:23 2020"
"MAGT1","magnesium","Tue Aug 18 06:46:23 2020"
"CLDN19","magnesium","Tue Aug 18 06:46:23 2020"
"FXYD2","magnesium","Tue Aug 18 06:46:23 2020"
"CNNM2","magnesium","Tue Aug 18 06:46:23 2020"
"CASR","magnesium","Tue Aug 18 06:46:23 2020"
"TRPM7","magnesium","Tue Aug 18 06:46:23 2020"
"ATP1A1","magnesium","Tue Aug 18 06:46:23 2020"
"SLC41A1","magnesium","Tue Aug 18 06:46:23 2020"
"MRS2","magnesium","Tue Aug 18 06:46:23 2020"
"CLCNKB","magnesium","Tue Aug 18 06:46:23 2020"
"SLC12A3","magnesium","Tue Aug 18 06:46:23 2020"
"KCNJ10","magnesium","Tue Aug 18 06:46:23 2020"
"KCNJ1","magnesium","Tue Aug 18 06:46:23 2020"
"ALB","magnesium","Tue Aug 18 06:46:23 2020"
"PTH","magnesium","Tue Aug 18 06:46:23 2020"
"SLC12A1","magnesium","Tue Aug 18 06:46:23 2020"
"SLC41A2","magnesium","Tue Aug 18 06:46:23 2020"
"GNAS","magnesium","Tue Aug 18 06:46:23 2020"
"TUSC3","magnesium","Tue Aug 18 06:46:23 2020"
"HNF1B","magnesium","Tue Aug 18 06:46:23 2020"
"GNA11","magnesium","Tue Aug 18 06:46:23 2020"
"ADCY10","magnesium","Tue Aug 18 06:46:23 2020"
"MDP1","magnesium","Tue Aug 18 06:46:23 2020"
