"proteinType","proteinSearched","todaysDate"
"TYR","melanin","Sat Aug 15 18:15:15 2020"
"TYRP1","melanin","Sat Aug 15 18:15:15 2020"
"OCA2","melanin","Sat Aug 15 18:15:15 2020"
"SLC45A2","melanin","Sat Aug 15 18:15:15 2020"
"MCHR1","melanin","Sat Aug 15 18:15:15 2020"
"MC1R","melanin","Sat Aug 15 18:15:15 2020"
"PMCH","melanin","Sat Aug 15 18:15:15 2020"
"SLC24A5","melanin","Sat Aug 15 18:15:15 2020"
"MCHR2","melanin","Sat Aug 15 18:15:15 2020"
"LRMDA","melanin","Sat Aug 15 18:15:15 2020"
"HPS4","melanin","Sat Aug 15 18:15:15 2020"
"DCT","melanin","Sat Aug 15 18:15:15 2020"
"NRAS","melanin","Sat Aug 15 18:15:15 2020"
"BLOC1S3","melanin","Sat Aug 15 18:15:15 2020"
"MYO5A","melanin","Sat Aug 15 18:15:15 2020"
"KITLG","melanin","Sat Aug 15 18:15:15 2020"
"MITF","melanin","Sat Aug 15 18:15:15 2020"
"ENPP1","melanin","Sat Aug 15 18:15:15 2020"
"PMCHL2","melanin","Sat Aug 15 18:15:15 2020"
"KIT","melanin","Sat Aug 15 18:15:15 2020"
"RAB27A","melanin","Sat Aug 15 18:15:15 2020"
"PMEL","melanin","Sat Aug 15 18:15:15 2020"
"MTX2","melanin","Sat Aug 15 18:15:15 2020"
"FAS","melanin","Sat Aug 15 18:15:15 2020"
"ABCC2","melanin","Sat Aug 15 18:15:15 2020"
