"proteinType","proteinSearched","todaysDate"
"MTNR1A","melatonin","Tue Aug 18 06:46:22 2020"
"MTNR1B","melatonin","Tue Aug 18 06:46:22 2020"
"AANAT","melatonin","Tue Aug 18 06:46:22 2020"
"GPR50","melatonin","Tue Aug 18 06:46:22 2020"
"ASMT","melatonin","Tue Aug 18 06:46:22 2020"
"PER2","melatonin","Tue Aug 18 06:46:22 2020"
"PER3","melatonin","Tue Aug 18 06:46:22 2020"
"PRL","melatonin","Tue Aug 18 06:46:22 2020"
"CSNK1D","melatonin","Tue Aug 18 06:46:22 2020"
"ARNTL","melatonin","Tue Aug 18 06:46:22 2020"
"RORA","melatonin","Tue Aug 18 06:46:22 2020"
"CLOCK","melatonin","Tue Aug 18 06:46:22 2020"
"CYP1A2","melatonin","Tue Aug 18 06:46:22 2020"
"NQO2","melatonin","Tue Aug 18 06:46:22 2020"
"TPH1","melatonin","Tue Aug 18 06:46:22 2020"
"OPN4","melatonin","Tue Aug 18 06:46:22 2020"
"OXT","melatonin","Tue Aug 18 06:46:22 2020"
"TDO2","melatonin","Tue Aug 18 06:46:22 2020"
"CYP2C19","melatonin","Tue Aug 18 06:46:22 2020"
"NR1H2","melatonin","Tue Aug 18 06:46:22 2020"
"SIRT1","melatonin","Tue Aug 18 06:46:22 2020"
"ESR1","melatonin","Tue Aug 18 06:46:22 2020"
"HTR2C","melatonin","Tue Aug 18 06:46:22 2020"
"TPH2","melatonin","Tue Aug 18 06:46:22 2020"
"HCRT","melatonin","Tue Aug 18 06:46:22 2020"
