"proteinType","proteinSearched","todaysDate"
"NOS2","omega-3s","Tue Aug 18 06:46:24 2020"
"NOS1","omega-3s","Tue Aug 18 06:46:24 2020"
"CACNA1B","omega-3s","Tue Aug 18 06:46:24 2020"
"CYP3A4","omega-3s","Tue Aug 18 06:46:24 2020"
"PTGS2","omega-3s","Tue Aug 18 06:46:24 2020"
"PPARA","omega-3s","Tue Aug 18 06:46:24 2020"
"NOS3","omega-3s","Tue Aug 18 06:46:24 2020"
"CYP4A11","omega-3s","Tue Aug 18 06:46:24 2020"
"CYP2C9","omega-3s","Tue Aug 18 06:46:24 2020"
"ABCB1","omega-3s","Tue Aug 18 06:46:24 2020"
"HADHA","omega-3s","Tue Aug 18 06:46:24 2020"
"ALB","omega-3s","Tue Aug 18 06:46:24 2020"
"ALOX5","omega-3s","Tue Aug 18 06:46:24 2020"
"PPARG","omega-3s","Tue Aug 18 06:46:24 2020"
"CYP2D6","omega-3s","Tue Aug 18 06:46:24 2020"
"F10","omega-3s","Tue Aug 18 06:46:24 2020"
"CYP2C19","omega-3s","Tue Aug 18 06:46:24 2020"
"CYP3A5","omega-3s","Tue Aug 18 06:46:24 2020"
"HMGCR","omega-3s","Tue Aug 18 06:46:24 2020"
"F2","omega-3s","Tue Aug 18 06:46:24 2020"
"FASN","omega-3s","Tue Aug 18 06:46:24 2020"
"UGT1A1","omega-3s","Tue Aug 18 06:46:24 2020"
"LPL","omega-3s","Tue Aug 18 06:46:24 2020"
"TNF","omega-3s","Tue Aug 18 06:46:24 2020"
"CYP2B6","omega-3s","Tue Aug 18 06:46:24 2020"
