"proteinType","proteinSearched","todaysDate"
"IL6","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"HLA-DRB1","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"IL10","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"PTPN22","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"TNF","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"STAT4","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"MIF","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"CTLA4","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"PADI4","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"TNFRSF1A","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"IL2RA","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"LTA","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"TLR4","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"HLA-B","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"HLA-DQB1","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"IL2RB","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"LACC1","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"CCR6","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"HLA-DQA1","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"IL1B","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"IRF5","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"CIITA","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"ACP5","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"CRP","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
"IL23R","rheumatoid-arthritis","Fri Aug 07 08:03:06 2020"
