"proteinType","proteinSearched","todaysDate"
"VDR","vitamin-d","Tue Aug 18 06:46:17 2020"
"CYP27B1","vitamin-d","Tue Aug 18 06:46:17 2020"
"PHEX","vitamin-d","Tue Aug 18 06:46:17 2020"
"CYP2R1","vitamin-d","Tue Aug 18 06:46:17 2020"
"CYP24A1","vitamin-d","Tue Aug 18 06:46:17 2020"
"DMP1","vitamin-d","Tue Aug 18 06:46:17 2020"
"GC","vitamin-d","Tue Aug 18 06:46:17 2020"
"PTH","vitamin-d","Tue Aug 18 06:46:17 2020"
"FGF23","vitamin-d","Tue Aug 18 06:46:17 2020"
"ENPP1","vitamin-d","Tue Aug 18 06:46:17 2020"
"CASR","vitamin-d","Tue Aug 18 06:46:17 2020"
"MMAB","vitamin-d","Tue Aug 18 06:46:17 2020"
"SLC34A3","vitamin-d","Tue Aug 18 06:46:17 2020"
"OCRL","vitamin-d","Tue Aug 18 06:46:17 2020"
"MVK","vitamin-d","Tue Aug 18 06:46:17 2020"
"KL","vitamin-d","Tue Aug 18 06:46:17 2020"
"VKORC1","vitamin-d","Tue Aug 18 06:46:17 2020"
"SLC34A1","vitamin-d","Tue Aug 18 06:46:17 2020"
"GGCX","vitamin-d","Tue Aug 18 06:46:17 2020"
"ALB","vitamin-d","Tue Aug 18 06:46:17 2020"
"BGLAP","vitamin-d","Tue Aug 18 06:46:17 2020"
"CLCN5","vitamin-d","Tue Aug 18 06:46:17 2020"
"DSPP","vitamin-d","Tue Aug 18 06:46:17 2020"
"TTPA","vitamin-d","Tue Aug 18 06:46:17 2020"
"CYP3A4","vitamin-d","Tue Aug 18 06:46:17 2020"
