"proteinType","proteinSearched","todaysDate"
"SLC30A2","zinc","Tue Aug 18 06:46:23 2020"
"SLC39A4","zinc","Tue Aug 18 06:46:23 2020"
"SLC39A8","zinc","Tue Aug 18 06:46:23 2020"
"SLC30A5","zinc","Tue Aug 18 06:46:23 2020"
"SLC39A1","zinc","Tue Aug 18 06:46:23 2020"
"SLC39A14","zinc","Tue Aug 18 06:46:23 2020"
"SLC30A1","zinc","Tue Aug 18 06:46:23 2020"
"SLC39A2","zinc","Tue Aug 18 06:46:23 2020"
"SLC30A4","zinc","Tue Aug 18 06:46:23 2020"
"SLC30A7","zinc","Tue Aug 18 06:46:23 2020"
"SLC30A6","zinc","Tue Aug 18 06:46:23 2020"
"SLC39A7","zinc","Tue Aug 18 06:46:23 2020"
"SLC39A6","zinc","Tue Aug 18 06:46:23 2020"
"SLC39A13","zinc","Tue Aug 18 06:46:23 2020"
"SLC39A10","zinc","Tue Aug 18 06:46:23 2020"
"SLC39A12","zinc","Tue Aug 18 06:46:23 2020"
"SLC39A5","zinc","Tue Aug 18 06:46:23 2020"
"SLC30A8","zinc","Tue Aug 18 06:46:23 2020"
"SLC30A10","zinc","Tue Aug 18 06:46:23 2020"
"WT1","zinc","Tue Aug 18 06:46:23 2020"
"SOD1","zinc","Tue Aug 18 06:46:23 2020"
"SLC30A3","zinc","Tue Aug 18 06:46:23 2020"
"ZNF148","zinc","Tue Aug 18 06:46:23 2020"
"TRIM28","zinc","Tue Aug 18 06:46:23 2020"
"ZBTB16","zinc","Tue Aug 18 06:46:23 2020"
