"gene","ctrl_mean","trt_mean","mal_ctrl_mean","fem_ctrl_mean","mal_trt_mean","fem_trt_mean","less50_ctrl_mean","great50_ctrl_mean","less50_trt_mean","great50_trt_mean","trt_ctrl_FoldChange","fem_trt_ctrl_FoldChange","mal_trt_ctrl_FoldChange","fem_mal_trt_FoldChange","fem_mal_ctrl_FoldChange","less50_trt_ctrl_FoldChange","great50_trt_ctrl_FoldChange"
"XIST",19309,20334.3157894737,0.333333333333333,22929.375,0,24147,19080.3,19390.6785714286,19444.3,20652.1785714286,1.05310040859049,1.05310327909069,0,24147,68788.125,1.01907726817713,1.06505703218962
"HEPH",25.9736842105263,23.5,0.666666666666667,30.71875,0.666666666666667,27.78125,33,23.4642857142857,28.7,21.6428571428571,0.904761904761905,0.904374364191251,1,41.671875,46.078125,0.86969696969697,0.922374429223744
"TSIX",13.3157894736842,13.5789473684211,0,15.8125,0.5,16.03125,11.5,13.9642857142857,14.7,13.1785714285714,1.0197628458498,1.01383399209486,0.5,32.0625,15.8125,1.27826086956522,0.943734015345269
"LINC01115",4.73684210526316,4.07894736842105,1.5,5.34375,0.166666666666667,4.8125,2.4,5.57142857142857,3.4,4.32142857142857,0.861111111111111,0.900584795321637,0.111111111111111,28.875,3.5625,1.41666666666667,0.775641025641026
"GPR128",18.9473684210526,20.2368421052632,0,22.5,0,24.03125,26,16.4285714285714,31.6,16.1785714285714,1.06805555555556,1.06805555555556,0,24.03125,22.5,1.21538461538462,0.984782608695652
"SLC6A19",73.2105263157895,90.5,1.83333333333333,86.59375,4.83333333333333,106.5625,246.4,11.3571428571429,301.8,15.0357142857143,1.23616103522646,1.23060267051606,2.63636363636364,22.0474137931034,47.2329545454545,1.22483766233766,1.32389937106918
"RP11-236P24.3",2.26315789473684,2.05263157894737,0,2.6875,0.166666666666667,2.40625,1.9,2.39285714285714,3.2,1.64285714285714,0.906976744186047,0.895348837209302,0.166666666666667,14.4375,2.6875,1.68421052631579,0.686567164179104
"MAP7D2",14.6842105263158,15.0526315789474,1,17.25,1.33333333333333,17.625,15.7,14.3214285714286,17.7,14.1071428571429,1.02508960573477,1.02173913043478,1.33333333333333,13.21875,17.25,1.12738853503185,0.985037406483791
"KRT77",1.23684210526316,1.71052631578947,0,1.46875,0.166666666666667,2,2.4,0.821428571428571,2.4,1.46428571428571,1.38297872340426,1.36170212765957,0.166666666666667,12,1.46875,1,1.78260869565217
"RP11-174O3.3",2.36842105263158,3.31578947368421,0.5,2.71875,0.333333333333333,3.875,0.8,2.92857142857143,1.9,3.82142857142857,1.4,1.42528735632184,0.666666666666667,11.625,5.4375,2.375,1.30487804878049
"ZNF90P3",0.0263157894736842,0,0,0.03125,0,0,0,0.0357142857142857,0,0,0,0,0,0,0.03125,0,0
"ZNF92P1Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF92P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF965P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNRF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZP2",0.0526315789473684,0,0,0.0625,0,0,0,0.0714285714285714,0,0,0,0,0,0,0.0625,0,0
"ZP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZSCAN1",0.0526315789473684,0,0.166666666666667,0.03125,0,0,0.1,0.0357142857142857,0,0,0,0,0,0,0.1875,0,0
"ZSWIM5P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZYG11AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
