"SLC4A1","ensg00000004939","Sun Aug 09 14:11:12 2020"
"PGLYRP1","ensg00000008438","Sun Aug 09 14:11:16 2020"
"LTF","ensg00000012223","Sun Aug 09 14:11:16 2020"
"RAP1GAP","ensg00000076864","Sun Aug 09 14:11:17 2020"
"GCKR","ensg00000084734","Sun Aug 09 14:11:19 2020"
"OLFM4","ensg00000102837","Sun Aug 09 14:11:06 2020"
"WFDC1","ensg00000103175","Sun Aug 09 14:11:10 2020"
"KLC3","ensg00000104892","Sun Aug 09 14:11:09 2020"
"GHRHR","ensg00000106128","Sun Aug 09 14:11:06 2020"
"DKK1","ensg00000107984","Sun Aug 09 14:11:11 2020"
"CPE","ensg00000109472","Sun Aug 09 14:11:06 2020"
"RHAG","ensg00000112077","Sun Aug 09 14:11:15 2020"
"SLC8A2","ensg00000118160","Sun Aug 09 14:11:07 2020"
"NPPB","ensg00000120937","Sun Aug 09 14:10:58 2020"
"CEACAM8","ensg00000124469","Sun Aug 09 14:11:13 2020"
"CA1","ensg00000133742","Sun Aug 09 14:11:20 2020"
"CYP19A1","ensg00000137869","Sun Aug 09 14:11:07 2020"
"SELENBP1","ensg00000143416","Sun Aug 09 14:11:16 2020"
"TIMP4","ensg00000157150","Sun Aug 09 14:11:13 2020"
"ALAS2","ensg00000158578","Sun Aug 09 14:11:18 2020"
"LRRC38","ensg00000162494","Sun Aug 09 14:11:01 2020"
"PCOLCE2","ensg00000163710","Sun Aug 09 14:11:05 2020"
"DEFA4","ensg00000164821","Sun Aug 09 14:11:13 2020"
"EPB42","ensg00000166947","Sun Aug 09 14:11:15 2020"
"AHSP","ensg00000169877","Sun Aug 09 14:11:17 2020"
"GYPA","ensg00000170180","Sun Aug 09 14:11:21 2020"
"METTL7B","ensg00000170439","Sun Aug 09 14:11:11 2020"
"SLC6A19","ensg00000174358","Sun Aug 09 14:11:21 2020"
"HBA2","ensg00000188536","Sun Aug 09 14:11:22 2020"
"CTSE","ensg00000196188","Sun Aug 09 14:11:12 2020"
"PRTN3","ensg00000196415","Sun Aug 09 14:11:14 2020"
"HBG2","ensg00000196565","Sun Aug 09 14:11:14 2020"
"RNU6-828P","ensg00000201746","Sun Aug 09 14:10:56 2020"
"ENSG00000202461","ensg00000202461","Sun Aug 09 14:10:59 2020"
"TNFRSF8","ensg00000202461","Sun Aug 09 14:10:59 2020"
"PLOD1","ensg00000202461","Sun Aug 09 14:10:59 2020"
"UBIAD1","ensg00000202461","Sun Aug 09 14:10:59 2020"
"MIIP","ensg00000202461","Sun Aug 09 14:10:59 2020"
"KIAA2013","ensg00000202461","Sun Aug 09 14:10:59 2020"
"NPPA-AS1","ensg00000202461","Sun Aug 09 14:10:59 2020"
"LINC01647","ensg00000202461","Sun Aug 09 14:10:59 2020"
"RNU6-777P","ensg00000202461","Sun Aug 09 14:10:59 2020"
"RPL23AP89","ensg00000202461","Sun Aug 09 14:10:59 2020"
"piR-60051-001","ensg00000202461","Sun Aug 09 14:10:59 2020"
"IFIT1B","ensg00000204010","Sun Aug 09 14:11:18 2020"
"OR6C68","ensg00000205327","Sun Aug 09 14:11:08 2020"
"HBM","ensg00000206177","Sun Aug 09 14:11:20 2020"
"IGLV5-37","ensg00000211654","Sun Aug 09 14:11:09 2020"
"IGLV3-22","ensg00000211661","Sun Aug 09 14:11:12 2020"
"IGHV3-20","ensg00000211946","Sun Aug 09 14:11:11 2020"
"MFFP1","ensg00000215720","Sun Aug 09 14:11:01 2020"
"MMP23A","ensg00000215914","Sun Aug 09 14:10:47 2020"
"HBD","ensg00000223609","Sun Aug 09 14:11:19 2020"
"RPL7P7","ensg00000224315","Sun Aug 09 14:10:54 2020"
"RPL12P14","ensg00000224321","Sun Aug 09 14:11:02 2020"
"ENSG00000224969","ensg00000224969","Sun Aug 09 14:10:46 2020"
