"gene","ctrl_mean","trt_mean","mal_ctrl_mean","fem_ctrl_mean","mal_trt_mean","fem_trt_mean","less50_ctrl_mean","great50_ctrl_mean","less50_trt_mean","great50_trt_mean","trt_ctrl_FoldChange","fem_trt_ctrl_FoldChange","mal_trt_ctrl_FoldChange","fem_mal_trt_FoldChange","fem_mal_ctrl_FoldChange","less50_trt_ctrl_FoldChange","great50_trt_ctrl_FoldChange"
"KCNJ10",2.13157894736842,1.31578947368421,0.166666666666667,2.5,2.5,1.09375,5.6,0.892857142857143,0.7,1.53571428571429,0.617283950617284,0.4375,15,0.4375,15,0.125,1.72
"PGF",3.31578947368421,5.34210526315789,0.5,3.84375,6.83333333333333,5.0625,2.3,3.67857142857143,8.3,4.28571428571429,1.61111111111111,1.31707317073171,13.6666666666667,0.740853658536585,7.6875,3.60869565217391,1.16504854368932
"RP11-982M15.7",1.26315789473684,1.47368421052632,0.166666666666667,1.46875,2.16666666666667,1.34375,0.8,1.42857142857143,1.6,1.42857142857143,1.16666666666667,0.914893617021277,13,0.620192307692308,8.8125,2,1
"CXCL11",0.210526315789474,0.657894736842105,0.166666666666667,0.21875,1.83333333333333,0.4375,0,0.285714285714286,0.1,0.857142857142857,3.125,2,11,0.238636363636364,1.3125,0.1,3
"LPPR4",0.552631578947368,0.842105263157895,0.166666666666667,0.625,1.66666666666667,0.6875,0.5,0.571428571428571,0.7,0.892857142857143,1.52380952380952,1.1,10,0.4125,3.75,1.4,1.5625
"RBMX2P1",0.842105263157895,0.710526315789474,0.166666666666667,0.96875,1.66666666666667,0.53125,0.5,0.964285714285714,0.5,0.785714285714286,0.84375,0.548387096774194,10,0.31875,5.8125,1,0.814814814814815
"AC104448.1",0.684210526315789,0.973684210526316,0.166666666666667,0.78125,1.5,0.875,0.4,0.785714285714286,0.8,1.03571428571429,1.42307692307692,1.12,9,0.583333333333333,4.6875,2,1.31818181818182
"CTD-2616J11.9",0.947368421052632,1.65789473684211,0.166666666666667,1.09375,1.5,1.6875,0.9,0.964285714285714,1.7,1.64285714285714,1.75,1.54285714285714,9,1.125,6.5625,1.88888888888889,1.7037037037037
"NR5A1",0.552631578947368,0.868421052631579,0.166666666666667,0.625,1.5,0.75,0.5,0.571428571428571,0.6,0.964285714285714,1.57142857142857,1.2,9,0.5,3.75,1.2,1.6875
"STAR",0.368421052631579,0.526315789473684,0.166666666666667,0.40625,1.5,0.34375,0.1,0.464285714285714,0.3,0.607142857142857,1.42857142857143,0.846153846153846,9,0.229166666666667,2.4375,3,1.30769230769231
"ZNF99",0.0789473684210526,0.0789473684210526,0.166666666666667,0.0625,0,0.09375,0,0.107142857142857,0,0.107142857142857,1,1.5,0,0.09375,0.375,0,1
"ZNRF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZP2",0.0526315789473684,0,0,0.0625,0,0,0,0.0714285714285714,0,0,0,0,0,0,0.0625,0,0
"ZP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZSCAN1",0.0526315789473684,0,0.166666666666667,0.03125,0,0,0.1,0.0357142857142857,0,0,0,0,0,0,0.1875,0,0
"ZSCAN5D",0.0263157894736842,0.0789473684210526,0,0.03125,0,0.09375,0,0.0357142857142857,0,0.107142857142857,3,3,0,0.09375,0.03125,0,3
"ZSWIM5P1",0,0.0263157894736842,0,0,0,0.03125,0,0,0,0.0357142857142857,0.0263157894736842,0.03125,0,0.03125,0,0,0.0357142857142857
"ZSWIM5P2",0,0.0263157894736842,0,0,0,0.03125,0,0,0,0.0357142857142857,0.0263157894736842,0.03125,0,0.03125,0,0,0.0357142857142857
"ZSWIM5P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZYG11AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
