"ENSEMBLID","convalescent","healthy1","healthy2","healthy3","healthy4","healthy5","healthy6","healthy7","healthy8","healthy9","healthy10","healthy11","healthy12","healthy13","healthy14","healthy15","healthy16","healthy17","moderate1","moderate2","moderate3","moderate4","severe1","severe2","severe3","severe4","severe5","severe6","severe7","severe8","ICU1","ICU2","ICU3","ICU4","healthy_mean","moderate_mean","severe_mean","ICU_mean","mod_health_foldChange","sevr_health_foldChange","ICU_health_foldChange","monotonicIncrease","monotonicDecrease"
"ENSG00000278267",3,4,5,3,8,3,9,7,2,7,2,6,3,2,6,12,5,3,1,0,2,0,2,0,0,1,2,3,0,3,3,3,3,7,5.11764705882353,0.75,1.375,4,0.146551724137931,0.26867816091954,0.781609195402299,1,0
"ENSG00000268903",18,9,18,14,4,8,9,17,6,8,6,14,8,10,6,5,7,14,10,8,8,11,4,8,10,13,19,9,12,7,33,27,11,13,9.58823529411765,9.25,10.25,21,0.964723926380368,1.06901840490798,2.19018404907975,1,0
"ENSG00000269981",11,11,9,2,8,5,6,17,6,8,5,14,6,16,4,7,1,13,1,4,5,3,5,7,1,18,24,9,6,2,23,18,6,16,8.11764705882353,3.25,9,15.75,0.40036231884058,1.10869565217391,1.94021739130435,1,0
"ENSG00000241860",1,2,2,7,2,0,1,1,5,2,1,6,1,10,2,6,0,5,0,2,3,2,2,1,2,2,5,5,1,3,7,3,3,5,3.11764705882353,1.75,2.625,4.5,0.561320754716981,0.841981132075472,1.44339622641509,1,0
"ENSG00000237094",10,6,4,5,6,4,7,2,1,8,0,2,6,10,3,2,4,8,4,3,6,2,4,1,4,5,8,7,2,1,7,3,8,7,4.58823529411765,3.75,4,6.25,0.817307692307692,0.871794871794872,1.36217948717949,1,0
"ENSG00000225972",0,0,0,3,2,0,1,3,0,1,4,0,0,725,1,1,0,1103,1,622,0,0,1012,0,1,550,572,868,2,693,607,1316,1190,1152,108.470588235294,155.75,462.25,1066.25,1.43587310195228,4.26152386117137,9.8298535791757,1,0
"ENSG00000229344",2,2,1,3,2,0,1,3,0,1,0,3,1,14,1,5,4,12,3,5,3,2,15,3,1,7,10,24,1,18,3,10,9,22,3.11764705882353,3.25,9.875,11,1.04245283018868,3.16745283018868,3.52830188679245,1,0
"ENSG00000198744",3,2,6,6,0,0,1,0,3,3,3,534,2,4,2,2,0,1,1,1,3,2,3,1,1,1,0,3,4,6,1,4,1,5,33.4705882352941,1.75,2.375,2.75,0.0522847100175747,0.0709578207381371,0.0821616871704745,1,0
"ENSG00000230368",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1,1,0.0588235294117647,0.25,0.375,0.75,4.25,6.375,12.75,1,0
"ENSG00000223764",0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,2,0,0,1,0,3,2,0,3,2,1,1,6,7,3,0,0.470588235294118,0.75,1.5,4,1.59375,3.1875,8.5,1,0
"ENSG00000272141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,3,0,0,0.176470588235294,0.25,0.375,0.75,1.41666666666667,2.125,4.25,1,0
"ENSG00000160087",1138,1234,1330,1098,1142,1308,1325,1199,1123,1158,1431,1318,760,833,1080,959,777,736,1063,1009,1126,702,947,1252,899,1016,1117,905,1219,900,1038,1340,988,1118,1106.52941176471,975,1031.875,1121,0.881133379405667,0.932532826537664,1.01307745468077,1,0
"ENSG00000131584",1116,1778,1371,1003,1382,1304,1139,1412,1192,1154,1335,1013,846,1159,1028,1270,880,707,570,867,996,1296,1147,1412,810,925,661,826,1123,976,1063,1058,974,1071,1174.88235294118,932.25,985,1041.5,0.793483702999049,0.838381815450859,0.88647173684474,1,0
"ENSG00000169962",25,63,27,32,28,82,21,71,29,36,45,32,24,32,40,34,22,40,22,40,83,39,37,70,35,46,35,23,64,100,65,79,66,39,38.7058823529412,46,51.25,62.25,1.18844984802432,1.32408814589666,1.60828267477204,1,0
"ENSG00000078369",5864,6348,6045,5553,5908,6960,6618,5600,5187,5271,8172,6769,4844,4976,6078,5550,5627,5255,4391,4404,5327,4492,5583,7434,5161,5729,5817,5149,5745,5147,5739,6562,5129,5811,5927.11764705882,4653.5,5720.625,5810.25,0.785120235011562,0.965161371959389,0.980282549796052,1,0
