"gene","ctrl_mean","trt_mean","mal_ctrl_mean","fem_ctrl_mean","mal_trt_mean","fem_trt_mean","less50_ctrl_mean","great50_ctrl_mean","less50_trt_mean","great50_trt_mean","trt_ctrl_FoldChange","fem_trt_ctrl_FoldChange","mal_trt_ctrl_FoldChange","fem_mal_trt_FoldChange","fem_mal_ctrl_FoldChange","less50_trt_ctrl_FoldChange","great50_trt_ctrl_FoldChange"
"RP11-806O11.1",0.0263157894736842,0.368421052631579,0,0.03125,0,0.4375,0,0.0357142857142857,0,0.5,14,14,0,0.4375,0.03125,0,14
"RP11-561N12.5",0.0526315789473684,0.368421052631579,0,0.0625,0.5,0.34375,0.1,0.0357142857142857,0.1,0.464285714285714,7,5.5,0.5,0.6875,0.0625,1,13
"AC005154.8",0.105263157894737,0.289473684210526,0.166666666666667,0.09375,0.166666666666667,0.3125,0.3,0.0357142857142857,0,0.392857142857143,2.75,3.33333333333333,1,1.875,0.5625,0,11
"AC016732.2",0.0526315789473684,0.342105263157895,0,0.0625,0.333333333333333,0.34375,0.1,0.0357142857142857,0.2,0.392857142857143,6.5,5.5,0.333333333333333,1.03125,0.0625,2,11
"PLCL2-AS1",0.0789473684210526,0.289473684210526,0,0.09375,0.333333333333333,0.28125,0.2,0.0357142857142857,0.1,0.357142857142857,3.66666666666667,3,0.333333333333333,0.84375,0.09375,0.5,10
"RAB11FIP1P1",0.131578947368421,0.342105263157895,0,0.15625,0.166666666666667,0.375,0.4,0.0357142857142857,0.3,0.357142857142857,2.6,2.4,0.166666666666667,2.25,0.15625,0.75,10
"RP11-956E11.1",0.184210526315789,0.947368421052632,0.333333333333333,0.15625,1.16666666666667,0.90625,0.4,0.107142857142857,0.6,1.07142857142857,5.14285714285714,5.8,3.5,0.776785714285714,0.46875,1.5,10
"AC007272.1",0.0789473684210526,0.236842105263158,0,0.09375,0.166666666666667,0.25,0.2,0.0357142857142857,0,0.321428571428571,3,2.66666666666667,0.166666666666667,1.5,0.09375,0,9
"NLRP14",0.105263157894737,0.236842105263158,0,0.125,0.166666666666667,0.25,0.3,0.0357142857142857,0,0.321428571428571,2.25,2,0.166666666666667,1.5,0.125,0,9
"POM121L1P",0.0526315789473684,0.263157894736842,0,0.0625,0.833333333333333,0.15625,0.1,0.0357142857142857,0.1,0.321428571428571,5,2.5,0.833333333333333,0.1875,0.0625,1,9
"ZNF90P3",0.0263157894736842,0,0,0.03125,0,0,0,0.0357142857142857,0,0,0,0,0,0,0.03125,0,0
"ZNF92P1Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF92P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF965P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNRF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZP2",0.0526315789473684,0,0,0.0625,0,0,0,0.0714285714285714,0,0,0,0,0,0,0.0625,0,0
"ZP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZSCAN1",0.0526315789473684,0,0.166666666666667,0.03125,0,0,0.1,0.0357142857142857,0,0,0,0,0,0,0.1875,0,0
"ZSWIM5P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZYG11AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
