"gene","ctrl_mean","trt_mean","mal_ctrl_mean","fem_ctrl_mean","mal_trt_mean","fem_trt_mean","less50_ctrl_mean","great50_ctrl_mean","less50_trt_mean","great50_trt_mean","trt_ctrl_FoldChange","fem_trt_ctrl_FoldChange","mal_trt_ctrl_FoldChange","fem_mal_trt_FoldChange","fem_mal_ctrl_FoldChange","less50_trt_ctrl_FoldChange","great50_trt_ctrl_FoldChange"
"RP11-806O11.1",0.0263157894736842,0.368421052631579,0,0.03125,0,0.4375,0,0.0357142857142857,0,0.5,14,14,0,0.4375,0.03125,0,14
"RP11-317J10.4",0.0263157894736842,0.289473684210526,0,0.03125,0.333333333333333,0.28125,0.1,0,0,0.392857142857143,11,9,0.333333333333333,0.84375,0.03125,0,0.392857142857143
"RP11-527D7.1",0.0263157894736842,0.289473684210526,0.166666666666667,0,0.166666666666667,0.3125,0,0.0357142857142857,0.2,0.321428571428571,11,0.3125,1,1.875,0,0.2,9
"AC002543.2",0.0263157894736842,0.263157894736842,0,0.03125,0.5,0.21875,0,0.0357142857142857,0.3,0.25,10,7,0.5,0.4375,0.03125,0.3,7
"RP11-304F15.6",0.0263157894736842,0.263157894736842,0,0.03125,0.166666666666667,0.28125,0,0.0357142857142857,0.4,0.214285714285714,10,9,0.166666666666667,1.6875,0.03125,0.4,6
"AC108004.5",0.0263157894736842,0.236842105263158,0,0.03125,0.333333333333333,0.21875,0.1,0,0,0.321428571428571,9,7,0.333333333333333,0.65625,0.03125,0,0.321428571428571
"CTD-2231H16.1",0.0263157894736842,0.236842105263158,0,0.03125,0.333333333333333,0.21875,0.1,0,0.2,0.25,9,7,0.333333333333333,0.65625,0.03125,2,0.25
"OR2M1P",0.0263157894736842,0.236842105263158,0,0.03125,0.333333333333333,0.21875,0,0.0357142857142857,0.3,0.214285714285714,9,7,0.333333333333333,0.65625,0.03125,0.3,6
"RP11-454H13.1",0.0263157894736842,0.236842105263158,0,0.03125,0.333333333333333,0.21875,0,0.0357142857142857,0.2,0.25,9,7,0.333333333333333,0.65625,0.03125,0.2,7
"RP11-47A17.2",0.0263157894736842,0.236842105263158,0,0.03125,0,0.28125,0,0.0357142857142857,0.1,0.285714285714286,9,9,0,0.28125,0.03125,0.1,8
"ZNF90P3",0.0263157894736842,0,0,0.03125,0,0,0,0.0357142857142857,0,0,0,0,0,0,0.03125,0,0
"ZNF92P1Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF92P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF965P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNRF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZP2",0.0526315789473684,0,0,0.0625,0,0,0,0.0714285714285714,0,0,0,0,0,0,0.0625,0,0
"ZP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZSCAN1",0.0526315789473684,0,0.166666666666667,0.03125,0,0,0.1,0.0357142857142857,0,0,0,0,0,0,0.1875,0,0
"ZSWIM5P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZYG11AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
