"gene","ctrl_mean","trt_mean","mal_ctrl_mean","fem_ctrl_mean","mal_trt_mean","fem_trt_mean","less50_ctrl_mean","great50_ctrl_mean","less50_trt_mean","great50_trt_mean","trt_ctrl_FoldChange","fem_trt_ctrl_FoldChange","mal_trt_ctrl_FoldChange","fem_mal_trt_FoldChange","fem_mal_ctrl_FoldChange","less50_trt_ctrl_FoldChange","great50_trt_ctrl_FoldChange"
"OR2L3",0.868421052631579,1.47368421052632,1.33333333333333,0.78125,0.833333333333333,1.59375,0.1,1.14285714285714,1.4,1.5,1.6969696969697,2.04,0.625,1.9125,0.5859375,14,1.3125
"AL161626.1",4.94736842105263,5.10526315789474,8.66666666666667,4.25,1.83333333333333,5.71875,0.2,6.64285714285714,2.4,6.07142857142857,1.03191489361702,1.34558823529412,0.211538461538462,3.11931818181818,0.490384615384615,12,0.913978494623656
"RP11-160O5.1",0.763157894736842,1.39473684210526,0.833333333333333,0.75,1.83333333333333,1.3125,0.1,1,1.1,1.5,1.82758620689655,1.75,2.2,0.715909090909091,0.9,11,1.5
"AC002519.6",0.315789473684211,0.552631578947368,0.666666666666667,0.25,0.666666666666667,0.53125,0.1,0.392857142857143,1,0.392857142857143,1.75,2.125,1,0.796875,0.375,10,1
"CTD-2354A18.1",0.684210526315789,0.631578947368421,0.5,0.71875,0,0.75,0.1,0.892857142857143,1,0.5,0.923076923076923,1.04347826086957,0,0.75,1.4375,10,0.56
"FAM81B",0.552631578947368,1.07894736842105,0.833333333333333,0.5,1.5,1,0.1,0.714285714285714,1,1.10714285714286,1.95238095238095,2,1.8,0.666666666666667,0.6,10,1.55
"RP11-59K5.1",0.710526315789474,1.13157894736842,1,0.65625,1.83333333333333,1,0.1,0.928571428571429,1,1.17857142857143,1.59259259259259,1.52380952380952,1.83333333333333,0.545454545454546,0.65625,10,1.26923076923077
"AC074117.13",0.315789473684211,0.736842105263158,0.333333333333333,0.3125,0.5,0.78125,0.1,0.392857142857143,0.9,0.678571428571429,2.33333333333333,2.5,1.5,1.5625,0.9375,9,1.72727272727273
"CKMT2",0.894736842105263,1.07894736842105,1.5,0.78125,0.5,1.1875,0.1,1.17857142857143,0.9,1.14285714285714,1.20588235294118,1.52,0.333333333333333,2.375,0.520833333333333,9,0.96969696969697
"CTD-2560C21.1",0.684210526315789,0.894736842105263,1.16666666666667,0.59375,1.16666666666667,0.84375,0.1,0.892857142857143,0.9,0.892857142857143,1.30769230769231,1.42105263157895,1,0.723214285714286,0.508928571428571,9,1
"ZP2",0.0526315789473684,0,0,0.0625,0,0,0,0.0714285714285714,0,0,0,0,0,0,0.0625,0,0
"ZP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZPBP",0.184210526315789,0.131578947368421,0,0.21875,0.5,0.0625,0,0.25,0,0.178571428571429,0.714285714285714,0.285714285714286,0.5,0.125,0.21875,0,0.714285714285714
"ZSCAN1",0.0526315789473684,0,0.166666666666667,0.03125,0,0,0.1,0.0357142857142857,0,0,0,0,0,0,0.1875,0,0
"ZSCAN5D",0.0263157894736842,0.0789473684210526,0,0.03125,0,0.09375,0,0.0357142857142857,0,0.107142857142857,3,3,0,0.09375,0.03125,0,3
"ZSWIM2",0.0789473684210526,0.0789473684210526,0,0.09375,0.166666666666667,0.0625,0,0.107142857142857,0,0.107142857142857,1,0.666666666666667,0.166666666666667,0.375,0.09375,0,1
"ZSWIM5P1",0,0.0263157894736842,0,0,0,0.03125,0,0,0,0.0357142857142857,0.0263157894736842,0.03125,0,0.03125,0,0,0.0357142857142857
"ZSWIM5P2",0,0.0263157894736842,0,0,0,0.03125,0,0,0,0.0357142857142857,0.0263157894736842,0.03125,0,0.03125,0,0,0.0357142857142857
"ZSWIM5P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZYG11AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
