"proteinType","category","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate","ctrl_mean","trt_mean","mal_ctrl_mean","fem_ctrl_mean","mal_trt_mean","fem_trt_mean","less50_ctrl_mean","great50_ctrl_mean","less50_trt_mean","great50_trt_mean","trt_ctrl_FoldChange","fem_trt_ctrl_FoldChange","mal_trt_ctrl_FoldChange","fem_mal_trt_FoldChange","fem_mal_ctrl_FoldChange","less50_trt_ctrl_FoldChange","great50_trt_ctrl_FoldChange"
"IL10","immune,RA,serous","The protein encoded by this gene is a cytokine produced primarily by monocytes and to a lesser extent by lymphocytes. This cytokine has pleiotropic effects in immunoregulation and inflammation. It down-regulates the expression of Th1 cytokines, MHC class II Ags, and costimulatory molecules on macrophages. It also enhances B cell survival, proliferation, and antibody production. This cytokine can block NF-kappa B activity, and is involved in the regulation of the JAK-STAT signaling pathway. Knockout studies in mice suggested the function of this cytokine as an essential immunoregulator in the intestinal tract. Mutations in this gene are associated with an increased susceptibility to HIV-1 infection and rheumatoid arthritis. [provided by RefSeq, May 2020]","                                            IL10 (Interleukin 10) is a Protein Coding gene.                                            Diseases associated with IL10 include Graft-Versus-Host Disease and Human Immunodeficiency Virus Type 1.                                            Among its related pathways are Tuberculosis and PEDF Induced Signaling.                                            Gene Ontology (GO) annotations related to this gene include cytokine activity and interleukin-10 receptor binding.                                            An important paralog of this gene is IL20.","Major immune regulatory cytokine that acts on many cells of the immune system where it has profound anti-inflammatory functions, limiting excessive tissue disruption caused by inflammation. Mechanistically, IL10 binds to its heterotetrameric receptor comprising IL10RA and IL10RB leading to JAK1 and STAT2-mediated phosphorylation of STAT3 (PubMed:16982608). In turn, STAT3 translocates to the nucleus where it drives expression of anti-inflammatory mediators (PubMed:18025162). Targets antigen-presenting cells (APCs) such as macrophages and monocytes and inhibits their release of pro-inflammatory cytokines including granulocyte-macrophage colony-stimulating factor /GM-CSF, granulocyte colony-stimulating factor/G-CSF, IL-1 alpha, IL-1 beta, IL-6, IL-8 and TNF-alpha (PubMed:1940799, PubMed:7512027, PubMed:11564774). Interferes also with antigen presentation by reducing the expression of MHC-class II and co-stimulatory molecules, thereby inhibiting their ability to induce T cell activation (PubMed:8144879). In addition, controls the inflammatory response of macrophages by reprogramming essential metabolic pathways including mTOR signaling (By similarity).
                         IL10_HUMAN,P22301
                         ","Fri Aug 07 08:20:35 2020",5.47368421052632,5.52631578947368,6.66666666666667,5.25,8.16666666666667,5.03125,3.4,6.21428571428571,3.9,6.10714285714286,1.00961538461538,0.958333333333333,1.225,0.616071428571429,0.7875,1.14705882352941,0.982758620689655
"IL6","immune,RA,serous","This gene encodes a cytokine that functions in inflammation and the maturation of B cells. In addition, the encoded protein has been shown to be an endogenous pyrogen capable of inducing fever in people with autoimmune diseases or infections. The protein is primarily produced at sites of acute and chronic inflammation, where it is secreted into the serum and induces a transcriptional inflammatory response through interleukin 6 receptor, alpha. The functioning of this gene is implicated in a wide variety of inflammation-associated disease states, including suspectibility to diabetes mellitus and systemic juvenile rheumatoid arthritis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2015]","                                            IL6 (Interleukin 6) is a Protein Coding gene.                                            Diseases associated with IL6 include Kaposi Sarcoma and Rheumatoid Arthritis, Systemic Juvenile.                                            Among its related pathways are Transcriptional misregulation in cancer and Folate Metabolism.                                            Gene Ontology (GO) annotations related to this gene include signaling receptor binding and growth factor activity.                                            ","Cytokine with a wide variety of biological functions. It is a potent inducer of the acute phase response. Plays an essential role in the final differentiation of B-cells into Ig-secreting cells Involved in lymphocyte and monocyte differentiation. Acts on B-cells, T-cells, hepatocytes, hematopoietic progenitor cells and cells of the CNS. Required for the generation of T(H)17 cells. Also acts as a myokine. It is discharged into the bloodstream after muscle contraction and acts to increase the breakdown of fats and to improve insulin resistance. It induces myeloma and plasmacytoma growth and induces nerve cells differentiation.
                         IL6_HUMAN,P05231
                         ","Fri Aug 07 08:20:37 2020",2.71052631578947,2.5,4.5,2.375,2.5,2.5,2.9,2.64285714285714,2.3,2.57142857142857,0.922330097087379,1.05263157894737,0.555555555555556,1,0.527777777777778,0.793103448275862,0.972972972972973
"TNF","immune,RA,serous","This gene encodes a multifunctional proinflammatory cytokine that belongs to the tumor necrosis factor (TNF) superfamily. This cytokine is mainly secreted by macrophages. It can bind to, and thus functions through its receptors TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. This cytokine is involved in the regulation of a wide spectrum of biological processes including cell proliferation, differentiation, apoptosis, lipid metabolism, and coagulation. This cytokine has been implicated in a variety of diseases, including autoimmune diseases, insulin resistance, and cancer. Knockout studies in mice also suggested the neuroprotective function of this cytokine. [provided by RefSeq, Jul 2008]","                                            TNF (Tumor Necrosis Factor) is a Protein Coding gene.                                            Diseases associated with TNF include Asthma and Malaria.                                            Among its related pathways are Apoptosis Modulation and Signaling and Monoamine Transport.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and cytokine activity.                                            An important paralog of this gene is LTB.","Cytokine that binds to TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. It is mainly secreted by macrophages and can induce cell death of certain tumor cell lines. It is potent pyrogen causing fever by direct action or by stimulation of interleukin-1 secretion and is implicated in the induction of cachexia, Under certain conditions it can stimulate cell proliferation and induce cell differentiation. Impairs regulatory T-cells (Treg) function in individuals with rheumatoid arthritis via FOXP3 dephosphorylation. Upregulates the expression of protein phosphatase 1 (PP1), which dephosphorylates the key 'Ser-418' residue of FOXP3, thereby inactivating FOXP3 and rendering Treg cells functionally defective (PubMed:23396208). Key mediator of cell death in the anticancer action of BCG-stimulated neutrophils in combination with DIABLO/SMAC mimetic in the RT4v6 bladder cancer cell line (PubMed:22517918, PubMed:16829952, PubMed:23396208). Induces insulin resistance in adipocytes via inhibition of insulin-induced IRS1 tyrosine phosphorylation and insulin-induced glucose uptake. Induces GKAP42 protein degradation in adipocytes which is partially responsible for TNF-induced insulin resistance (By similarity).
                         TNFA_HUMAN,P01375
                         ","Fri Aug 07 08:20:48 2020",148.421052631579,149.736842105263,140.666666666667,149.875,156.666666666667,148.4375,124.9,156.821428571429,118.8,160.785714285714,1.00886524822695,0.990408673894912,1.11374407582938,0.947473404255319,1.06546208530806,0.951160928742994,1.02527897973127
"ACP5","immune & RA","This gene encodes an iron containing glycoprotein which catalyzes the conversion of orthophosphoric monoester to alcohol and orthophosphate. It is the most basic of the acid phosphatases and is the only form not inhibited by L(+)-tartrate. [provided by RefSeq, Aug 2008]","                                            ACP5 (Acid Phosphatase 5, Tartrate Resistant) is a Protein Coding gene.                                            Diseases associated with ACP5 include Spondyloenchondrodysplasia With Immune Dysregulation and Spondyloenchondrodysplasia.                                            Among its related pathways are Lysosome and ATP/ITP metabolism.                                            Gene Ontology (GO) annotations related to this gene include hydrolase activity and ferric iron binding.                                            ","Involved in osteopontin/bone sialoprotein dephosphorylation. Its expression seems to increase in certain pathological states such as Gaucher and Hodgkin diseases, the hairy cell, the B-cell, and the T-cell leukemias.
                         PPA5_HUMAN,P13686
                         ","Fri Aug 07 08:20:56 2020",212.789473684211,208.368421052632,238,208.0625,235.833333333333,203.21875,187.5,221.821428571429,169.4,222.285714285714,0.979223348998269,0.976719735656353,0.990896358543417,0.861704946996466,0.87421218487395,0.903466666666667,1.00209306069876
"CTLA4","immune & RA","This gene is a member of the immunoglobulin superfamily and encodes a protein which transmits an inhibitory signal to T cells. The protein contains a V domain, a transmembrane domain, and a cytoplasmic tail. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. The membrane-bound isoform functions as a homodimer interconnected by a disulfide bond, while the soluble isoform functions as a monomer. Mutations in this gene have been associated with insulin-dependent diabetes mellitus, Graves disease, Hashimoto thyroiditis, celiac disease, systemic lupus erythematosus, thyroid-associated orbitopathy, and other autoimmune diseases. [provided by RefSeq, Jul 2008]","                                            CTLA4 (Cytotoxic T-Lymphocyte Associated Protein 4) is a Protein Coding gene.                                            Diseases associated with CTLA4 include Autoimmune Lymphoproliferative Syndrome, Type V and Celiac Disease 3.                                            Among its related pathways are TCR Signaling (Qiagen) and T cell receptor signaling pathway.                                                                                        An important paralog of this gene is CD28.","Inhibitory receptor acting as a major negative regulator of T-cell responses. The affinity of CTLA4 for its natural B7 family ligands, CD80 and CD86, is considerably stronger than the affinity of their cognate stimulatory coreceptor CD28.
                         CTLA4_HUMAN,P16410
                         ","Fri Aug 07 08:20:42 2020",70.6578947368421,60.3157894736842,103.166666666667,64.5625,69.3333333333333,58.625,50.3,77.9285714285714,43,66.5,0.853631284916201,0.908034849951597,0.672051696284329,0.845552884615385,0.625807754442649,0.854870775347913,0.853345554537122
"HLA-DRB1","immune & RA","HLA-DRB1 belongs to the HLA class II beta chain paralogs. The class II molecule is a heterodimer consisting of an alpha (DRA) and a beta chain (DRB), both anchored in the membrane. It plays a central role in the immune system by presenting peptides derived from extracellular proteins. Class II molecules are expressed in antigen presenting cells. The beta chain is approximately 26-28 kDa. It is encoded by 6 exons. Exon one encodes the leader peptide; exons 2 and 3 encode the two extracellular domains; exon 4 encodes the transmembrane domain; and exon 5 encodes the cytoplasmic tail. Within the DR molecule the beta chain contains all the polymorphisms specifying the peptide binding specificities. Hundreds of DRB1 alleles have been described and some alleles have increased frequencies associated with certain diseases. There are multiple pseudogenes of this gene. [provided by RefSeq, Feb 2020]","                                            HLA-DRB1 (Major Histocompatibility Complex, Class II, DR Beta 1) is a Protein Coding gene.                                            Diseases associated with HLA-DRB1 include Sarcoidosis 1 and Multiple Sclerosis.                                            Among its related pathways are TCR Signaling (Qiagen) and Tuberculosis.                                            Gene Ontology (GO) annotations related to this gene include peptide antigen binding and MHC class II receptor activity.                                            An important paralog of this gene is HLA-DRB5.","A beta chain of antigen-presenting major histocompatibility complex class II (MHCII) molecule. In complex with the alpha chain HLA-DRA, displays antigenic peptides on professional antigen presenting cells (APCs) for recognition by alpha-beta T cell receptor (TCR) on HLA-DRB1-restricted CD4-positive T cells. This guides antigen-specific T helper effector functions, both antibody-mediated immune response and macrophage activation, to ultimately eliminate the infectious agents and transformed cells (PubMed:29884618, PubMed:22327072, PubMed:27591323, PubMed:8642306, PubMed:15265931, PubMed:31495665). Typically presents extracellular peptide antigens of 10 to 30 amino acids that arise from proteolysis of endocytosed antigens in lysosomes (PubMed:8145819). In the tumor microenvironment, presents antigenic peptides that are primarily generated in tumor-resident APCs likely via phagocytosis of apoptotic tumor cells or macropinocytosis of secreted tumor proteins (PubMed:31495665). The selection of the immunodominant epitopes follows two processing modes: 'bind first, cut/trim later' for pathogen-derived antigenic peptides and 'cut first, bind later' for autoantigens/self-peptides (PubMed:25413013). The anchor residue at position 1 of the peptide N-terminus, usually a large hydrophobic residue, is essential for high affinity interaction with MHCII molecules (PubMed:8145819).
                         DRB_HUMAN,P01911
                         ","Fri Aug 07 08:20:41 2020",2453.57894736842,2344.81578947368,2490.83333333333,2446.59375,2207.33333333333,2370.59375,2398.8,2473.14285714286,2097.8,2433.03571428571,0.955671628984512,0.968936403928932,0.886182669789227,1.07396273784355,0.982239043158247,0.874520593630148,0.983782925138632
"IFNG","immune & serous","This gene encodes a soluble cytokine that is a member of the type II interferon class. The encoded protein is secreted by cells of both the innate and adaptive immune systems. The active protein is a homodimer that binds to the interferon gamma receptor which triggers a cellular response to viral and microbial infections. Mutations in this gene are associated with an increased susceptibility to viral, bacterial and parasitic infections and to several autoimmune diseases. [provided by RefSeq, Dec 2015]","                                            IFNG (Interferon Gamma) is a Protein Coding gene.                                            Diseases associated with IFNG include Hepatitis C Virus and Tuberous Sclerosis 2.                                            Among its related pathways are Folate Metabolism and Tuberculosis.                                            Gene Ontology (GO) annotations related to this gene include cytokine activity and interferon-gamma receptor binding.                                            ","Produced by lymphocytes activated by specific antigens or mitogens. IFN-gamma, in addition to having antiviral activity, has important immunoregulatory functions. It is a potent activator of macrophages, it has antiproliferative effects on transformed cells and it can potentiate the antiviral and antitumor effects of the type I interferons.
                         IFNG_HUMAN,P01579
                         ","Fri Aug 07 08:20:36 2020",8.55263157894737,9.6578947368421,15.1666666666667,7.3125,21,7.53125,4.9,9.85714285714286,2.8,12.1071428571429,1.12923076923077,1.02991452991453,1.38461538461538,0.358630952380952,0.482142857142857,0.571428571428571,1.22826086956522
"IL1B","RA & serous","The protein encoded by this gene is a member of the interleukin 1 cytokine family. This cytokine is produced by activated macrophages as a proprotein, which is proteolytically processed to its active form by caspase 1 (CASP1/ICE). This cytokine is an important mediator of the inflammatory response, and is involved in a variety of cellular activities, including cell proliferation, differentiation, and apoptosis. The induction of cyclooxygenase-2 (PTGS2/COX2) by this cytokine in the central nervous system (CNS) is found to contribute to inflammatory pain hypersensitivity. This gene and eight other interleukin 1 family genes form a cytokine gene cluster on chromosome 2. [provided by RefSeq, Jul 2008]","                                            IL1B (Interleukin 1 Beta) is a Protein Coding gene.                                            Diseases associated with IL1B include Gastric Cancer, Hereditary Diffuse and Toxic Shock Syndrome.                                            Among its related pathways are Monoamine Transport and Bacterial infections in CF airways.                                            Gene Ontology (GO) annotations related to this gene include protein domain specific binding and interleukin-1 receptor binding.                                            An important paralog of this gene is IL36RN.","Potent proinflammatory cytokine. Initially discovered as the major endogenous pyrogen, induces prostaglandin synthesis, neutrophil influx and activation, T-cell activation and cytokine production, B-cell activation and antibody production, and fibroblast proliferation and collagen production. Promotes Th17 differentiation of T-cells. Synergizes with IL12/interleukin-12 to induce IFNG synthesis from T-helper 1 (Th1) cells (PubMed:10653850).
                         IL1B_HUMAN,P01584
                         ","Fri Aug 07 08:21:03 2020",747.421052631579,783.157894736842,710.166666666667,754.40625,901.166666666667,761.03125,711.3,760.321428571429,801.4,776.642857142857,1.04781353425815,1.00878174060727,1.26895095048111,0.844495561309414,1.06229464914339,1.12666947841979,1.02146648503922
"IL2RA","immune & RA","The interleukin 2 (IL2) receptor alpha (IL2RA) and beta (IL2RB) chains, together with the common gamma chain (IL2RG), constitute the high-affinity IL2 receptor. Homodimeric alpha chains (IL2RA) result in low-affinity receptor, while homodimeric beta (IL2RB) chains produce a medium-affinity receptor. Normally an integral-membrane protein, soluble IL2RA has been isolated and determined to result from extracellular proteolyisis. Alternately-spliced IL2RA mRNAs have been isolated, but the significance of each is presently unknown. Mutations in this gene are associated with interleukin 2 receptor alpha deficiency. The level of IL2/IL2R in plasma has been found to be elevated in some patients with severe COVID-19, but decreased in critical patients. [provided by RefSeq, Jun 2020]","                                            IL2RA (Interleukin 2 Receptor Subunit Alpha) is a Protein Coding gene.                                            Diseases associated with IL2RA include Immunodeficiency 41 With Lymphoproliferation And Autoimmunity and Diabetes Mellitus, Insulin-Dependent, 10.                                            Among its related pathways are RET signaling and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include drug binding and interleukin-2 binding.                                            ","Receptor for interleukin-2. The receptor is involved in the regulation of immune tolerance by controlling regulatory T cells (TREGs) activity. TREGs suppress the activation and expansion of autoreactive T-cells.
                         IL2RA_HUMAN,P01589
                         ","Fri Aug 07 08:20:39 2020",162.842105263158,158.947368421053,199.5,155.96875,150.5,160.53125,111.7,181.107142857143,108.9,176.821428571429,0.976082740788623,1.0292526547786,0.754385964912281,1.06665282392027,0.781798245614035,0.974932855863921,0.976336028396766
"TLR4","immune & RA","The protein encoded by this gene is a member of the Toll-like receptor (TLR) family which plays a fundamental role in pathogen recognition and activation of innate immunity. TLRs are highly conserved from Drosophila to humans and share structural and functional similarities. They recognize pathogen-associated molecular patterns that are expressed on infectious agents, and mediate the production of cytokines necessary for the development of effective immunity. The various TLRs exhibit different patterns of expression. This receptor has been implicated in signal transduction events induced by lipopolysaccharide (LPS) found in most gram-negative bacteria. Mutations in this gene have been associated with differences in LPS responsiveness. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2012]","                                            TLR4 (Toll Like Receptor 4) is a Protein Coding gene.                                            Diseases associated with TLR4 include Pertussis and Pyelonephritis.                                            Among its related pathways are Antigen processing-Cross presentation and Activated TLR4 signalling.                                            Gene Ontology (GO) annotations related to this gene include lipopolysaccharide binding.                                            An important paralog of this gene is TLR5.","Cooperates with LY96 and CD14 to mediate the innate immune response to bacterial lipopolysaccharide (LPS) (PubMed:27022195). Acts via MYD88, TIRAP and TRAF6, leading to NF-kappa-B activation, cytokine secretion and the inflammatory response (PubMed:9237759, PubMed:10835634, PubMed:27022195). Also involved in LPS-independent inflammatory responses triggered by free fatty acids, such as palmitate, and Ni(2+). Responses triggered by Ni(2+) require non-conserved histidines and are, therefore, species-specific (PubMed:20711192). Both M.tuberculosis HSP70 (dnaK) and HSP65 (groEL-2) act via this protein to stimulate NF-kappa-B expression (PubMed:15809303). In complex with TLR6, promotes sterile inflammation in monocytes/macrophages in response to oxidized low-density lipoprotein (oxLDL) or amyloid-beta 42. In this context, the initial signal is provided by oxLDL- or amyloid-beta 42-binding to CD36. This event induces the formation of a heterodimer of TLR4 and TLR6, which is rapidly internalized and triggers inflammatory response, leading to the NF-kappa-B-dependent production of CXCL1, CXCL2 and CCL9 cytokines, via MYD88 signaling pathway, and CCL5 cytokine, via TICAM1 signaling pathway, as well as IL1B secretion. Binds electronegative LDL (LDL(-)) and mediates the cytokine release induced by LDL(-) (PubMed:23880187). Stimulation of monocytes in vitro with M.tuberculosis PstS1 induces p38 MAPK and ERK1/2 activation primarily via TLR2, but also partially via this receptor (PubMed:16622205).
                         TLR4_HUMAN,O00206
                         ","Fri Aug 07 08:20:44 2020",3657.10526315789,3404.68421052632,3444.83333333333,3696.90625,3971.66666666667,3298.375,3391.8,3751.85714285714,3151,3495.28571428571,0.930977908901202,0.892198713451281,1.15293434612221,0.830476290390264,1.07317419807441,0.92900524795094,0.931614819327571
