"gene","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","EnsemblGene","moderate1","moderate2","moderate3","moderate4","femModerate_mean","femHealthy_mean","femModHealthy_FoldChange"
"ARHGEF19-AS1","                                            ARHGEF19-AS1 (ARHGEF19 Antisense RNA 1) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ARHGEF19-AS1 (ARHGEF19 Antisense RNA 1) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000231353",0,0,0,0,0,0.222222222222222,0
"ARHGEF19-AS1","                                            ARHGEF19-AS1 (ARHGEF19 Antisense RNA 1) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ARHGEF19-AS1 (ARHGEF19 Antisense RNA 1) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000270620",0,0,0,0,0,0.222222222222222,0
"CAMTA1","The protein encoded by this gene contains a CG1 DNA-binding domain, a transcription factor immunoglobulin domain, ankyrin repeats, and calmodulin-binding IQ motifs. The encoded protein is thought to be a transcription factor and may be a tumor suppressor. However, a translocation event is sometimes observed between this gene and the WWTR1 gene, with the resulting WWTR1-CAMTA1 oncoprotein leading to epithelioid hemangioendothelioma, a malignant vascular cancer. [provided by RefSeq, Mar 2017]","                                            CAMTA1 (Calmodulin Binding Transcription Activator 1) is a Protein Coding gene.                                            Diseases associated with CAMTA1 include Cerebellar Ataxia, Nonprogressive, With Mental Retardation and Epithelioid Hemangioendothelioma.                                                                                                                                    An important paralog of this gene is CAMTA2.","Transcriptional activator. May act as a tumor suppressor.
                         CMTA1_HUMAN,Q9Y6Y1
                         ","ENSG00000270035",0,0,0,0,0,0.111111111111111,0
"CAMTA1","The protein encoded by this gene contains a CG1 DNA-binding domain, a transcription factor immunoglobulin domain, ankyrin repeats, and calmodulin-binding IQ motifs. The encoded protein is thought to be a transcription factor and may be a tumor suppressor. However, a translocation event is sometimes observed between this gene and the WWTR1 gene, with the resulting WWTR1-CAMTA1 oncoprotein leading to epithelioid hemangioendothelioma, a malignant vascular cancer. [provided by RefSeq, Mar 2017]","                                            CAMTA1 (Calmodulin Binding Transcription Activator 1) is a Protein Coding gene.                                            Diseases associated with CAMTA1 include Cerebellar Ataxia, Nonprogressive, With Mental Retardation and Epithelioid Hemangioendothelioma.                                                                                                                                    An important paralog of this gene is CAMTA2.","Transcriptional activator. May act as a tumor suppressor.
                         CMTA1_HUMAN,Q9Y6Y1
                         ","ENSG00000237365",0,0,0,0,0,0.222222222222222,0
"CAMTA1-AS1","                                            CAMTA1-AS1 (CAMTA1 Antisense RNA 1) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            CAMTA1-AS1 (CAMTA1 Antisense RNA 1) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000237365",0,0,0,0,0,0.222222222222222,0
"CAMTA1-DT","                                            CAMTA1-DT (CAMTA1 Divergent Transcript) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            CAMTA1-DT (CAMTA1 Divergent Transcript) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000237365",0,0,0,0,0,0.222222222222222,0
"CDK11B","This gene encodes a member of the serine/threonine protein kinase family. Members of this kinase family are known to be essential for eukaryotic cell cycle control. Due to a segmental duplication, this gene shares very high sequence identity with a neighboring gene. These two genes are frequently deleted or altered in neuroblastoma. The protein kinase encoded by this gene can be cleaved by caspases and may play a role in cell apoptosis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2014]","                                            CDK11B (Cyclin Dependent Kinase 11B) is a Protein Coding gene.                                            Diseases associated with CDK11B include Childhood Endodermal Sinus Tumor and Neuroblastoma.                                            Among its related pathways are Regulation of PLK1 Activity at G2/M Transition and Cell Cycle, Mitotic.                                            Gene Ontology (GO) annotations related to this gene include protein kinase activity.                                            An important paralog of this gene is CDK11A.","Plays multiple roles in cell cycle progression, cytokinesis and apoptosis. Involved in pre-mRNA splicing in a kinase activity-dependent manner. Isoform 7 may act as a negative regulator of normal cell cycle progression.
                         CD11B_HUMAN,P21127
                         ","ENSG00000272004",0,0,0,0,0,0.222222222222222,0
"CENPS-CORT","This locus represents naturally occurring read-through transcription between the neighboring APITD1 (apoptosis-inducing, TAF9-like domain 1) and CORT (cortistatin) genes. Alternative splicing results in multiple transcript variants, two of which encode fusion proteins that share sequence identity with the products of each individual gene. [provided by RefSeq, Aug 2011]","                                            CENPS-CORT (CENPS-CORT Readthrough) is a Protein Coding gene.                                                                                        Among its related pathways are Fanconi anemia pathway.                                                                                        An important paralog of this gene is CENPS.","no summary","ENSG00000251503",0,0,0,0,0,0.222222222222222,0
"CLCNKA","This gene is a member of the CLC family of voltage-gated chloride channels. The encoded protein is predicted to have 12 transmembrane domains, and requires a beta subunit called barttin to form a functional channel. It is thought to function in salt reabsorption in the kidney and potassium recycling in the inner ear. The gene is highly similar to CLCNKB, which is located 10 kb downstream from this gene. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","                                            CLCNKA (Chloride Voltage-Gated Channel Ka) is a Protein Coding gene.                                            Diseases associated with CLCNKA include Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness and Infantile Bartter Syndrome With Sensorineural Deafness.                                            Among its related pathways are Activation of cAMP-Dependent PKA and Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds.                                            Gene Ontology (GO) annotations related to this gene include ion channel activity and voltage-gated chloride channel activity.                                            An important paralog of this gene is CLCNKB.","Voltage-gated chloride channel. Chloride channels have several functions including the regulation of cell volume; membrane potential stabilization, signal transduction and transepithelial transport. May be important in urinary concentrating mechanisms.
                         CLCKA_HUMAN,P51800
                         ","ENSG00000231353",0,0,0,0,0,0.222222222222222,0
"CLCNKA","This gene is a member of the CLC family of voltage-gated chloride channels. The encoded protein is predicted to have 12 transmembrane domains, and requires a beta subunit called barttin to form a functional channel. It is thought to function in salt reabsorption in the kidney and potassium recycling in the inner ear. The gene is highly similar to CLCNKB, which is located 10 kb downstream from this gene. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","                                            CLCNKA (Chloride Voltage-Gated Channel Ka) is a Protein Coding gene.                                            Diseases associated with CLCNKA include Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness and Infantile Bartter Syndrome With Sensorineural Deafness.                                            Among its related pathways are Activation of cAMP-Dependent PKA and Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds.                                            Gene Ontology (GO) annotations related to this gene include ion channel activity and voltage-gated chloride channel activity.                                            An important paralog of this gene is CLCNKB.","Voltage-gated chloride channel. Chloride channels have several functions including the regulation of cell volume; membrane potential stabilization, signal transduction and transepithelial transport. May be important in urinary concentrating mechanisms.
                         CLCKA_HUMAN,P51800
                         ","ENSG00000270620",0,0,0,0,0,0.222222222222222,0
