"EnsemblID","proteinType","proteinSearched","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","convalescent","healthy1","healthy2","healthy3","healthy4","healthy5","healthy6","healthy7","healthy8","healthy9","healthy10","healthy11","healthy12","healthy13","healthy14","healthy15","healthy16","healthy17","moderate1","moderate2","moderate3","moderate4","severe1","severe2","severe3","severe4","severe5","severe6","severe7","severe8","ICU1","ICU2","ICU3","ICU4","healthy_mean","moderate_mean","severe_mean","ICU_mean","mod_health_foldChange","sevr_health_foldChange","ICU_health_foldChange","monotonicIncrease","monotonicDecrease"
"ENSG00000004948","CALCR","calcitonine","This gene encodes a high affinity receptor for the peptide hormone calcitonin and belongs to a subfamily of seven transmembrane-spanning G protein-coupled receptors. The encoded protein is involved in maintaining calcium homeostasis and in regulating osteoclast-mediated bone resorption. Polymorphisms in this gene have been associated with variations in bone mineral density and onset of osteoporosis. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Sep 2009]","                                            CALCR (Calcitonin Receptor) is a Protein Coding gene.                                            Diseases associated with CALCR include Osteoporosis and Bone Mineral Density Quantitative Trait Locus 15.                                            Among its related pathways are Signaling by GPCR and G alpha (s) signalling events.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and transmembrane signaling receptor activity.                                            An important paralog of this gene is CALCRL.","This is a receptor for calcitonin. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase. The calcitonin receptor is thought to couple to the heterotrimeric guanosine triphosphate-binding protein that is sensitive to cholera toxin.
                         CALCR_HUMAN,P30988
                         ",0,2,3,0,0,1,2,4,1,0,2,0,2,3,0,2,0,0,3,1,1,0,3,0,0,4,0,0,1,1,0,3,3,1,1.29411764705882,1.25,1.125,1.75,0.965909090909091,0.869318181818182,1.35227272727273,0,0
"ENSG00000007171","NOS2","omega-3s","Nitric oxide is a reactive free radical which acts as a biologic mediator in several processes, including neurotransmission and antimicrobial and antitumoral activities. This gene encodes a nitric oxide synthase which is expressed in liver and is inducible by a combination of lipopolysaccharide and certain cytokines. Three related pseudogenes are located within the Smith-Magenis syndrome region on chromosome 17. [provided by RefSeq, Jul 2008]","                                            NOS2 (Nitric Oxide Synthase 2) is a Protein Coding gene.                                            Diseases associated with NOS2 include Malaria and Meningioma, Radiation-Induced.                                            Among its related pathways are Tuberculosis and VEGF Signaling.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and oxidoreductase activity.                                            An important paralog of this gene is NOS1.","Produces nitric oxide (NO) which is a messenger molecule with diverse functions throughout the body (PubMed:7531687, PubMed:7544004). In macrophages, NO mediates tumoricidal and bactericidal actions. Also has nitrosylase activity and mediates cysteine S-nitrosylation of cytoplasmic target proteins such PTGS2/COX2 (By similarity). As component of the iNOS-S100A8/9 transnitrosylase complex involved in the selective inflammatory stimulus-dependent S-nitrosylation of GAPDH on 'Cys-247' implicated in regulation of the GAIT complex activity and probably multiple targets including ANXA5, EZR, MSN and VIM (PubMed:25417112). Involved in inflammation, enhances the synthesis of proinflammatory mediators such as IL6 and IL8 (PubMed:19688109).
                         NOS2_HUMAN,P35228
                         ",3,0,4,0,0,1,2,2,4,5,3,0,6,2,1,7,1,2,1,1,3,5,6,2,5,2,1,0,2,1,0,11,4,1,2.35294117647059,2.5,2.375,4,1.0625,1.009375,1.7,0,0
"ENSG00000010704","HFE","iron","The protein encoded by this gene is a membrane protein that is similar to MHC class I-type proteins and associates with beta2-microglobulin (beta2M). It is thought that this protein functions to regulate iron absorption by regulating the interaction of the transferrin receptor with transferrin. The iron storage disorder, hereditary haemochromatosis, is a recessive genetic disorder that results from defects in this gene. At least nine alternatively spliced variants have been described for this gene. Additional variants have been found but their full-length nature has not been determined. [provided by RefSeq, Jul 2008]","                                            HFE (Homeostatic Iron Regulator) is a Protein Coding gene.                                            Diseases associated with HFE include Hemochromatosis, Type 1 and Transferrin Serum Level Quantitative Trait Locus 2.                                            Among its related pathways are Hfe effect on hepcidin production.                                            Gene Ontology (GO) annotations related to this gene include signaling receptor binding and peptide antigen binding.                                            An important paralog of this gene is HLA-A.","Binds to transferrin receptor (TFR) and reduces its affinity for iron-loaded transferrin.
                         HFE_HUMAN,Q30201
                         ",89,98,146,115,93,149,178,97,81,121,111,83,64,68,102,80,71,43,46,65,67,33,79,78,57,104,94,95,90,60,51,86,71,65,100,52.75,82.125,68.25,0.5275,0.82125,0.6825,0,0
"ENSG00000036828","CASR","calcium","The protein encoded by this gene is a plasma membrane G protein-coupled receptor that senses small changes in circulating calcium concentration. The encoded protein couples this information to intracellular signaling pathways that modify parathyroid hormone secretion or renal cation handling, and thus this protein plays an essential role in maintaining mineral ion homeostasis. Mutations in this gene are a cause of familial hypocalciuric hypercalcemia, neonatal severe hyperparathyroidism, and autosomal dominant hypocalcemia. [provided by RefSeq, Aug 2017]","                                            CASR (Calcium Sensing Receptor) is a Protein Coding gene.                                            Diseases associated with CASR include Hypocalcemia, Autosomal Dominant 1 and Hyperparathyroidism, Neonatal Severe.                                            Among its related pathways are RET signaling and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and protein kinase binding.                                            An important paralog of this gene is GPRC6A.","G-protein-coupled receptor that senses changes in the extracellular concentration of calcium ions and plays a key role in maintaining calcium homeostasis (PubMed:7759551, PubMed:8702647, PubMed:8636323, PubMed:8878438, PubMed:17555508, PubMed:19789209, PubMed:21566075, PubMed:22114145, PubMed:23966241, PubMed:25292184, PubMed:25104082, PubMed:26386835, PubMed:25766501, PubMed:22789683). Senses fluctuations in the circulating calcium concentration and modulates the production of parathyroid hormone (PTH) in parathyroid glands (By similarity). The activity of this receptor is mediated by a G-protein that activates a phosphatidylinositol-calcium second messenger system (PubMed:7759551). The G-protein-coupled receptor activity is activated by a co-agonist mechanism: aromatic amino acids, such as Trp or Phe, act concertedly with divalent cations, such as calcium or magnesium, to achieve full receptor activation (PubMed:27434672, PubMed:27386547).
                         CASR_HUMAN,P41180
                         ",2,7,6,4,1,0,2,5,5,1,2,4,2,6,4,2,0,2,5,3,5,5,6,2,5,5,4,4,6,2,0,5,16,4,3.11764705882353,4.5,4.25,6.25,1.44339622641509,1.36320754716981,2.00471698113208,0,0
"ENSG00000064835","POU1F1","prolactin","This gene encodes a member of the POU family of transcription factors that regulate mammalian development. The protein regulates expression of several genes involved in pituitary development and hormone expression. Mutations in this genes result in combined pituitary hormone deficiency. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","                                            POU1F1 (POU Class 1 Homeobox 1) is a Protein Coding gene.                                            Diseases associated with POU1F1 include Pituitary Hormone Deficiency, Combined, 1 and Isolated Growth Hormone Deficiency, Type Ii.                                            Among its related pathways are Relaxin signaling pathway and Glucocorticoid receptor regulatory network.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and chromatin binding.                                            An important paralog of this gene is POU3F3.","Transcription factor involved in the specification of the lactotrope, somatotrope, and thyrotrope phenotypes in the developing anterior pituitary. Specifically binds to the consensus sequence 5'-TAAAT-3'. Activates growth hormone and prolactin genes (PubMed:22010633, PubMed:26612202).
                         PIT1_HUMAN,P28069
                         ",0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0.294117647058824,0.25,0.25,0.75,0.85,0.85,2.55,0,0
"ENSG00000064989","CALCRL","calcitonine","                                            CALCRL (Calcitonin Receptor Like Receptor) is a Protein Coding gene.                                            Diseases associated with CALCRL include Lymphatic Malformation 8 and Primary Angle-Closure Glaucoma.                                            Among its related pathways are Signaling by GPCR and G alpha (s) signalling events.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and protein transporter activity.                                            An important paralog of this gene is CALCR.","                                            CALCRL (Calcitonin Receptor Like Receptor) is a Protein Coding gene.                                            Diseases associated with CALCRL include Lymphatic Malformation 8 and Primary Angle-Closure Glaucoma.                                            Among its related pathways are Signaling by GPCR and G alpha (s) signalling events.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and protein transporter activity.                                            An important paralog of this gene is CALCR.","Receptor for calcitonin-gene-related peptide (CGRP) together with RAMP1 and receptor for adrenomedullin together with RAMP3 (By similarity). Receptor for adrenomedullin together with RAMP2. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase.
                         CALRL_HUMAN,Q16602
                         ",72,27,50,41,28,78,171,61,71,70,59,67,73,66,75,79,56,61,37,10,14,32,23,37,47,149,58,71,54,21,43,36,36,37,66.6470588235294,23.25,57.5,38,0.348852603706973,0.862753751103266,0.570167696381289,0,0
"ENSG00000077498","TYR","melanin","The enzyme encoded by this gene catalyzes the first 2 steps, and at least 1 subsequent step, in the conversion of tyrosine to melanin. The enzyme has both tyrosine hydroxylase and dopa oxidase catalytic activities, and requires copper for function. Mutations in this gene result in oculocutaneous albinism, and nonpathologic polymorphisms result in skin pigmentation variation. The human genome contains a pseudogene similar to the 3' half of this gene. [provided by RefSeq, Oct 2008]","                                            TYR (Tyrosinase) is a Protein Coding gene.                                            Diseases associated with TYR include Albinism, Oculocutaneous, Type Ia and Albinism, Oculocutaneous, Type Ib.                                            Among its related pathways are (S)-reticuline biosynthesis and Tyrosine metabolism.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and oxidoreductase activity.                                            An important paralog of this gene is TYRP1.","This is a copper-containing oxidase that functions in the formation of pigments such as melanins and other polyphenolic compounds. Catalyzes the initial and rate limiting step in the cascade of reactions leading to melanin production from tyrosine. In addition to hydroxylating tyrosine to DOPA (3,4-dihydroxyphenylalanine), also catalyzes the oxidation of DOPA to DOPA-quinone, and possibly the oxidation of DHI (5,6-dihydroxyindole) to indole-5,6 quinone.
                         TYRO_HUMAN,P14679
                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0.117647058823529,0,0.375,0.5,0.882352941176471,3.1875,4.25,1,0
"ENSG00000082175","PGR","progesterone","This gene encodes a member of the steroid receptor superfamily. The encoded protein mediates the physiological effects of progesterone, which plays a central role in reproductive events associated with the establishment and maintenance of pregnancy. This gene uses two distinct promotors and translation start sites in the first exon to produce several transcript variants, both protein coding and non-protein coding. Two of the isoforms (A and B) are identical except for an additional 165 amino acids found in the N-terminus of isoform B and mediate their own response genes and physiologic effects with little overlap. [provided by RefSeq, Sep 2015]","                                            PGR (Progesterone Receptor) is a Protein Coding gene.                                            Diseases associated with PGR include Progesterone Resistance and Myoma.                                            Among its related pathways are Signaling by GPCR and Cellular roles of Anthrax toxin.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and signaling receptor binding.                                            An important paralog of this gene is NR3C2.","The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Depending on the isoform, progesterone receptor functions as transcriptional activator or repressor.
                         PRGR_HUMAN,P06401
                         ",2,0,0,0,2,0,0,5,1,0,0,0,0,1,3,6,0,1,5,1,3,5,3,3,0,2,0,2,2,3,3,6,9,1,1.11764705882353,3.5,1.875,4.75,3.13157894736842,1.67763157894737,4.25,0,0
"ENSG00000084674","APOB","fish-oil","This gene product is the main apolipoprotein of chylomicrons and low density lipoproteins (LDL), and is the ligand for the LDL receptor. It occurs in plasma as two main isoforms, apoB-48 and apoB-100: the former is synthesized exclusively in the gut and the latter in the liver. The intestinal and the hepatic forms of apoB are encoded by a single gene from a single, very long mRNA. The two isoforms share a common N-terminal sequence. The shorter apoB-48 protein is produced after RNA editing of the apoB-100 transcript at residue 2180 (CAA->UAA), resulting in the creation of a stop codon, and early translation termination. Mutations in this gene or its regulatory region cause hypobetalipoproteinemia, normotriglyceridemic hypobetalipoproteinemia, and hypercholesterolemia due to ligand-defective apoB, diseases affecting plasma cholesterol and apoB levels. [provided by RefSeq, Dec 2019]","                                            APOB (Apolipoprotein B) is a Protein Coding gene.                                            Diseases associated with APOB include Hypobetalipoproteinemia, Familial, 1 and Hypercholesterolemia, Familial, 2.                                            Among its related pathways are Activated TLR4 signalling and Lipoprotein metabolism.                                            Gene Ontology (GO) annotations related to this gene include binding and heparin binding.                                            ","Apolipoprotein B is a major protein constituent of chylomicrons (apo B-48), LDL (apo B-100) and VLDL (apo B-100). Apo B-100 functions as a recognition signal for the cellular binding and internalization of LDL particles by the apoB/E receptor.
                         APOB_HUMAN,P04114
                         ",3,1,0,0,1,0,1,2,0,1,0,0,0,0,1,5,0,1,10,1,8,6,6,0,4,0,0,3,6,5,2,6,22,2,0.764705882352941,6.25,3,8,8.17307692307692,3.92307692307692,10.4615384615385,0,0
"ENSG00000089250","NOS1","omega-3s","The protein encoded by this gene belongs to the family of nitric oxide synthases, which synthesize nitric oxide from L-arginine. Nitric oxide is a reactive free radical, which acts as a biologic mediator in several processes, including neurotransmission, and antimicrobial and antitumoral activities. In the brain and peripheral nervous system, nitric oxide displays many properties of a neurotransmitter, and has been implicated in neurotoxicity associated with stroke and neurodegenerative diseases, neural regulation of smooth muscle, including peristalsis, and penile erection. This protein is ubiquitously expressed, with high level of expression in skeletal muscle. Multiple transcript variants that differ in the 5' UTR have been described for this gene but the full-length nature of these transcripts is not known. Additionally, alternatively spliced transcript variants encoding different isoforms (some testis-specific) have been found for this gene.[provided by RefSeq, Feb 2011]","                                            NOS1 (Nitric Oxide Synthase 1) is a Protein Coding gene.                                            Diseases associated with NOS1 include Achalasia, Familial Esophageal and Pyloric Stenosis, Infantile Hypertrophic, 1.                                            Among its related pathways are Neuroscience and Association Between Physico-Chemical Features and Toxicity Associated Pathways.                                            Gene Ontology (GO) annotations related to this gene include oxidoreductase activity and iron ion binding.                                            An important paralog of this gene is NOS3.","Produces nitric oxide (NO) which is a messenger molecule with diverse functions throughout the body. In the brain and peripheral nervous system, NO displays many properties of a neurotransmitter. Probably has nitrosylase activity and mediates cysteine S-nitrosylation of cytoplasmic target proteins such SRR.
                         NOS1_HUMAN,P29475
                         ",2,0,0,0,1,0,0,0,0,0,0,0,1,4,4,3,0,1,4,0,9,4,5,2,0,1,0,4,4,4,0,17,10,3,0.823529411764706,4.25,2.5,7.5,5.16071428571429,3.03571428571429,9.10714285714286,0,0
